dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,subgraphx,constituency,bert_correct,all,7600,471,0.8868036687564534,0.51203451468673,0.884646873107927,-0.002169276708915141,-0.004455087768527441,-1.6243927413784898e-05,0.3342144929388435,0.3323578359565678,-0.0020132337558652464,-0.009196932459552084,0.004510683843809582
setfit_ag_news,subgraphx,constituency,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.48742970414614545,0.8023442139089734,-0.008227751323195575,-0.016814312143539192,-0.0008044525135736921,0.09288454724528535,0.08003278315535867,-0.014720593307289802,-0.033404468958641756,-0.0019202386729994993
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,all,7600,574,0.8475255174657395,0.5186823505724383,0.829826944420475,-0.01764859000196893,-0.0255017232393337,-0.00990473634837965,0.32332935769248194,0.3228281554770891,-0.0005724630452326261,-0.005072630365450646,0.0046973539534072364
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,confidence>0.9,6823,288,0.7822287044121398,0.5019821155317521,0.7440560443764345,-0.038116174572814646,-0.055566780040486895,-0.0210532976215565,0.14666558047719025,0.14294842521484868,-0.0026947020125566656,-0.0084433961816982,0.005931835068004946
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,all (base = confidence+explanation),7600,574,0.8350452426080928,0.5186823505724383,0.8320124554789528,-0.0030199225764027528,-0.005590040024532314,-0.0004250140615048113,0.34525943675321785,0.34501614324441005,-0.00035188751236019876,-0.004070797700040115,0.003451332224190094
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,all,7600,267,0.9483383054694519,0.5465113072044643,0.94675038855188,-0.0016574721069191173,-0.005072020953509171,0.0012617846191983805,0.32916218400001945,0.3278470923637667,-0.00022218028826214895,-0.017263233028471717,0.01606083546380176
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,all (base = confidence+explanation),7600,267,0.9480619905603472,0.5465113072044643,0.9478862930950386,-0.00019441327568962762,-0.0016036350292471246,0.001087287443393922,0.34865857259168775,0.35291793705769836,0.00397348202211658,-0.010548437564896226,0.020038656484375274
setfit_ag_news,subgraphx,syntactic,bert_correct,all,7600,471,0.8868036687564534,0.5137554541585623,0.8840178821648605,-0.002792643143293903,-0.004272135780672298,-0.0015770083431866505,0.3342144929388435,0.3326553848210014,-0.0015332856956560218,-0.004094586246989365,0.0009008196228126537
setfit_ag_news,subgraphx,syntactic,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.45399441999371265,0.8011369590275595,-0.009589151897021822,-0.015203894892937705,-0.005290233020301425,0.09288454724528535,0.08181334666991982,-0.012079814361055409,-0.02349241409660362,-0.003552215918827131
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,all,7600,606,0.8424970106390106,0.5240235383275245,0.8365350404071006,-0.005937277634429856,-0.015733460463384037,0.0032073618724305334,0.3150069526609232,0.3156182774313375,0.00046014169255088536,-0.004583801901153145,0.00585533014195427
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,confidence>0.9,6674,268,0.7581354467127367,0.5066303279108672,0.7428699074095646,-0.015356211062680394,-0.03799006767944504,0.006718450262916875,0.15826100677210156,0.14783143817421968,-0.011294358350040149,-0.023005619245500816,-0.0009822532273805653
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,all (base = confidence+explanation),7600,606,0.8472269017007507,0.5240235383275245,0.8462220328409734,-0.0009750232670952942,-0.004574471437981229,0.0024835833333331585,0.3478462204920661,0.3494136735951019,0.0015932737191613412,-0.0020181094639481144,0.005190638213266867
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,all,7600,317,0.9363034177946049,0.4921172463768744,0.9339233017904798,-0.0023647335466499666,-0.007914636582226145,0.0015230772925521325,0.340302840982371,0.34120505969684783,0.0016219670240576614,-0.004046820202031005,0.007640333053324852
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,all (base = confidence+explanation),7600,317,0.9409609951180551,0.4921172463768744,0.9400388355233721,-0.0009185431025116038,-0.0029872142127062517,0.0008215477423695464,0.38930134991586474,0.39043145658940603,0.0012264420104312948,-0.004723991890560831,0.007970774394594442
