dataset,graph,n,errors_bert,errors_distilled,errors_gold_trained,jaccard_D_G,share_of_D_errors_made_by_G,jaccard_D_G_if_independent,jaccard_D_bert,jaccard_G_bert,bert_errors_reproduced_D,bert_errors_reproduced_G
setfit_ag_news,constituency,7600,471,574,564,0.6445086705202312,0.7770034843205574,0.038886908256801384,0.6052227342549923,0.5729483282674772,0.8365180467091295,0.8004246284501062
setfit_ag_news,syntactic,7600,471,606,576,0.6081632653061224,0.7376237623762376,0.04042740079387141,0.5608695652173913,0.4957142857142857,0.821656050955414,0.7367303609341825
setfit_ag_news,window,7600,471,562,595,0.6552217453505007,0.8149466192170819,0.03953156531474285,0.6115444617784711,0.5471698113207547,0.832271762208068,0.8004246284501062
setfit_ag_news,skipgrams,7600,471,564,526,0.6196136701337296,0.7393617021276596,0.03714179546221669,0.6146645865834633,0.5529595015576324,0.8365180467091295,0.7537154989384289
stanfordnlp_sst2,constituency,872,73,96,88,0.6,0.71875,0.055578947368421054,0.4444444444444444,0.4247787610619469,0.7123287671232876,0.6575342465753424
stanfordnlp_sst2,syntactic,872,73,109,123,0.5782312925170068,0.7798165137614679,0.07097518753606463,0.4444444444444444,0.38028169014084506,0.7671232876712328,0.7397260273972602
stanfordnlp_sst2,window,872,73,98,93,0.6050420168067226,0.7346938775510204,0.057889454896530704,0.47413793103448276,0.4434782608695652,0.7534246575342466,0.6986301369863014
stanfordnlp_sst2,skipgrams,872,73,106,93,0.5307692307692308,0.6509433962264151,0.06023095252642513,0.4094488188976378,0.4188034188034188,0.7123287671232876,0.6712328767123288
