dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,dimension,js_divergence_bits,cramers_v,chi2,chi2_p_value,legacy_weighted_sd,legacy_separability,n_correct,n_incorrect,pct_correct_by_quadrant,quadrant_share_pct
setfit_ag_news,graphsvx,window,teacher_agreement,7600,266,0.03500000000000003,0.9380263157894737,Dimension 3 (consistency),0.38152258415142254,0.39697317920554887,1197.6665580650622,1.9607470609939368e-262,7.295563540031804,10.317484903467646,7334,266,"{""Sufficient-Necessary"": 76.0, ""Sufficient-Redundant"": 99.1, ""Insufficient-Necessary"": 0.0, ""Insufficient-Redundant"": 0.0}","{""Sufficient-Necessary"": 11.24, ""Sufficient-Redundant"": 88.76, ""Insufficient-Necessary"": 0.0, ""Insufficient-Redundant"": 0.0}"
setfit_ag_news,graphsvx,window,teacher_agreement,7600,266,0.03500000000000003,0.9380263157894737,Dimension 4 (fidelity),0.08620384058462205,0.18854910126512092,270.18580326792465,1.0337470691047967e-60,3.465150848348176,4.900463325402627,7334,266,"{""Faithful"": 83.9, ""Redundant"": 97.45, ""Incomplete"": 0.0, ""Unfaithful"": 0.0}","{""Faithful"": 7.03, ""Redundant"": 92.97, ""Incomplete"": 0.0, ""Unfaithful"": 0.0}"
setfit_ag_news,graphsvx,window,gold_label,7600,562,0.07394736842105265,0.9380263157894737,Dimension 3 (consistency),0.14459449708945754,0.3197703994576151,777.1236236065487,5.0802747377232045e-171,8.367918779480437,11.834024226777752,7038,562,"{""Sufficient-Necessary"": 69.09, ""Sufficient-Redundant"": 95.58, ""Insufficient-Necessary"": 0.0, ""Insufficient-Redundant"": 0.0}","{""Sufficient-Necessary"": 11.24, ""Sufficient-Redundant"": 88.76, ""Insufficient-Necessary"": 0.0, ""Insufficient-Redundant"": 0.0}"
setfit_ag_news,graphsvx,window,gold_label,7600,562,0.07394736842105265,0.9380263157894737,Dimension 4 (fidelity),0.0394639551186339,0.16035609371141304,195.42698360691446,2.0788490255332208e-44,4.19628198935192,5.934438900883438,7038,562,"{""Faithful"": 77.34, ""Redundant"": 93.76, ""Incomplete"": 0.0, ""Unfaithful"": 0.0}","{""Faithful"": 7.03, ""Redundant"": 92.97, ""Incomplete"": 0.0, ""Unfaithful"": 0.0}"
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,Dimension 3 (consistency),0.11845187644569902,0.27809252393505274,587.7494342011158,4.561473939888202e-127,5.1200263330253,7.240810679871765,7333,267,"{""Sufficient-Necessary"": 70.83, ""Sufficient-Redundant"": 96.95, ""Insufficient-Necessary"": 69.16, ""Insufficient-Redundant"": 97.72}","{""Sufficient-Necessary"": 0.63, ""Sufficient-Redundant"": 33.63, ""Insufficient-Necessary"": 2.82, ""Insufficient-Redundant"": 62.92}"
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,Dimension 4 (fidelity),0.06839529896919479,0.13023617073702717,128.90709727865507,9.302263959765506e-28,2.397808521604448,3.391013331226791,7333,267,"{""Faithful"": 77.27, ""Redundant"": 93.76, ""Incomplete"": 82.76, ""Unfaithful"": 98.0}","{""Faithful"": 0.29, ""Redundant"": 32.91, ""Incomplete"": 0.38, ""Unfaithful"": 66.42}"
setfit_ag_news,subgraphx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,Dimension 3 (consistency),0.058396531173234456,0.2336154855443316,414.77908265446484,1.392381908137191e-89,6.173025256924111,8.729976039213739,7026,574,"{""Sufficient-Necessary"": 60.42, ""Sufficient-Redundant"": 92.8, ""Insufficient-Necessary"": 59.81, ""Insufficient-Redundant"": 94.04}","{""Sufficient-Necessary"": 0.63, ""Sufficient-Redundant"": 33.63, ""Insufficient-Necessary"": 2.82, ""Insufficient-Redundant"": 62.92}"
setfit_ag_news,subgraphx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,Dimension 4 (fidelity),0.027895226022293263,0.11636808802060107,102.91564251273473,3.6685377338485287e-22,3.074895248392358,4.34855856315306,7026,574,"{""Faithful"": 63.64, ""Redundant"": 88.88, ""Incomplete"": 82.76, ""Unfaithful"": 94.39}","{""Faithful"": 0.29, ""Redundant"": 32.91, ""Incomplete"": 0.38, ""Unfaithful"": 66.42}"
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,Dimension 3 (consistency),0.10106411751374308,0.30449644621573463,704.6574517608896,2.051741455489763e-152,5.565520283077771,7.870834265991132,7337,263,"{""Sufficient-Necessary"": 54.84, ""Sufficient-Redundant"": 96.53, ""Insufficient-Necessary"": 50.0, ""Insufficient-Redundant"": 97.74}","{""Sufficient-Necessary"": 0.82, ""Sufficient-Redundant"": 41.29, ""Insufficient-Necessary"": 0.74, ""Insufficient-Redundant"": 57.16}"
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,Dimension 4 (fidelity),0.046302199371284276,0.09419716444955217,67.4356040065534,1.510886979167977e-14,1.7217154284321639,2.4348733094357704,7337,263,"{""Faithful"": 100.0, ""Redundant"": 94.61, ""Incomplete"": 80.0, ""Unfaithful"": 97.98}","{""Faithful"": 0.13, ""Redundant"": 42.49, ""Incomplete"": 0.07, ""Unfaithful"": 57.32}"
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,Dimension 3 (consistency),0.060940887144014085,0.2505468106563496,477.0801529085222,4.4208348600264927e-103,6.567162365534217,9.287370083644667,7036,564,"{""Sufficient-Necessary"": 51.61, ""Sufficient-Redundant"": 91.14, ""Insufficient-Necessary"": 33.93, ""Insufficient-Redundant"": 94.96}","{""Sufficient-Necessary"": 0.82, ""Sufficient-Redundant"": 41.29, ""Insufficient-Necessary"": 0.74, ""Insufficient-Redundant"": 57.16}"
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,Dimension 4 (fidelity),0.03860099265134702,0.12609751467614994,120.84443237701404,5.076548735983983e-26,3.3051821757349678,4.674233459038206,7036,564,"{""Faithful"": 70.0, ""Redundant"": 89.04, ""Incomplete"": 60.0, ""Unfaithful"": 95.29}","{""Faithful"": 0.13, ""Redundant"": 42.49, ""Incomplete"": 0.07, ""Unfaithful"": 57.32}"
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,Dimension 3 (consistency),0.20243661485250283,0.3782584034908727,1087.4035905671253,1.967183112389066e-235,7.562402335537773,10.694851947039488,7283,317,"{""Sufficient-Necessary"": 56.2, ""Sufficient-Redundant"": 98.16, ""Insufficient-Necessary"": 51.14, ""Insufficient-Redundant"": 93.01}","{""Sufficient-Necessary"": 1.8, ""Sufficient-Redundant"": 77.08, ""Insufficient-Necessary"": 1.16, ""Insufficient-Redundant"": 19.96}"
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,Dimension 4 (fidelity),0.01622745572344303,0.11472931740410695,100.03740366729363,1.5256436082176483e-21,2.293747474964978,3.243848787754514,7283,317,"{""Faithful"": 62.5, ""Redundant"": 96.15, ""Incomplete"": 75.0, ""Unfaithful"": 95.36}","{""Faithful"": 0.42, ""Redundant"": 79.34, ""Incomplete"": 0.11, ""Unfaithful"": 20.13}"
setfit_ag_news,subgraphx,syntactic,gold_label,7600,606,0.0797368421052631,0.9380263157894737,Dimension 3 (consistency),0.07599685627301905,0.2598008970410595,512.9734463853779,7.3631407077812e-111,7.0376259453284105,9.952706058792213,6994,606,"{""Sufficient-Necessary"": 56.93, ""Sufficient-Redundant"": 94.4, ""Insufficient-Necessary"": 50.0, ""Insufficient-Redundant"": 88.46}","{""Sufficient-Necessary"": 1.8, ""Sufficient-Redundant"": 77.08, ""Insufficient-Necessary"": 1.16, ""Insufficient-Redundant"": 19.96}"
setfit_ag_news,subgraphx,syntactic,gold_label,7600,606,0.0797368421052631,0.9380263157894737,Dimension 4 (fidelity),0.0077114846922758835,0.08780846873390548,58.59848657858875,1.17115376105018e-12,2.3786028640371777,3.363852429820864,6994,606,"{""Faithful"": 62.5, ""Redundant"": 92.35, ""Incomplete"": 50.0, ""Unfaithful"": 91.57}","{""Faithful"": 0.42, ""Redundant"": 79.34, ""Incomplete"": 0.11, ""Unfaithful"": 20.13}"
