dataset,graph,model,n,bert_accuracy,n_bert_errors,accuracy_gold,n_errors,bert_errors_reproduced,jaccard_errors,p_err_given_bert_err,p_err_given_bert_ok,lift,agreement_with_bert,mean_conf_on_bert_errors,confident_agreeing_on_bert_errors,diff_vs_original_bert_errors_reproduced,diff_vs_original_bert_errors_reproduced_ci_low,diff_vs_original_bert_errors_reproduced_ci_high,diff_vs_original_jaccard_errors,diff_vs_original_jaccard_errors_ci_low,diff_vs_original_jaccard_errors_ci_high,diff_vs_original_lift,diff_vs_original_lift_ci_low,diff_vs_original_lift_ci_high,diff_vs_original_confident_agreeing_on_bert_errors,diff_vs_original_confident_agreeing_on_bert_errors_ci_low,diff_vs_original_confident_agreeing_on_bert_errors_ci_high,jaccard_errors_with_original_teacher_model,jaccard_errors_with_teacher_replicate
setfit_ag_news,constituency,teacher (original),7600,0.9380263157894737,471,0.9244736842105263,574,0.8365180467091295,0.6052227342549923,0.8365180467091295,0.02524898302707252,33.13076197216325,0.9648684210526316,0.8682049021219752,0.5456475583864119,,,,,,,,,,,,,,
setfit_ag_news,constituency,teacher (replicate),7600,0.9380263157894737,471,0.9223684210526316,590,0.832271762208068,0.585949177877429,0.832271762208068,0.027773881329779773,29.96598683222887,0.9615789473684211,0.8466428909964875,0.5031847133757962,-0.004734986057357085,-0.03354473865017708,0.022919565738963556,-0.019687606456849423,-0.049043310448933425,0.0112629964327301,-3.2328127211461464,-7.400993915754816,0.7830099799890711,-0.04329621380174543,-0.07469795645443476,-0.009709154898788947,0.7347242921013413,
setfit_ag_news,constituency,gold,7600,0.9380263157894737,471,0.9257894736842105,564,0.8004246284501062,0.5729483282674772,0.8004246284501062,0.026230887922569786,30.51458383005779,0.9602631578947368,0.7662672530820163,0.26963906581740976,-0.036170717699762975,-0.07322944868323898,-0.0020527633272385054,-0.032323360385811586,-0.06648603108766918,-0.000245373126732713,-2.6284482360466486,-7.413060182168595,1.8700250772604508,-0.2756495888588271,-0.32203860640301313,-0.23011706578830232,,0.6700434153400868
setfit_ag_news,constituency,gold [gnn_models_control_seed1],7600,0.9380263157894737,471,0.9231578947368421,584,0.7834394904458599,0.5379008746355685,0.7834394904458599,0.030158507504558844,25.977395941342024,0.9559210526315789,0.7338579631788209,0.2229299363057325,-0.05333099285196811,-0.09170354522630246,-0.016597510373444032,-0.06720227176429998,-0.10366372161322267,-0.032689687521840476,-7.173336307558096,-12.091748482017927,-2.778733902428643,-0.32448555517125593,-0.37044967880085655,-0.27836691861536933,,0.5570291777188329
setfit_ag_news,syntactic,teacher (original),7600,0.9380263157894737,471,0.9202631578947369,606,0.821656050955414,0.5608695652173913,0.821656050955414,0.030719596016271566,26.7469679783614,0.9582894736842106,0.8515137385284318,0.4968152866242038,,,,,,,,,,,,,,
setfit_ag_news,syntactic,teacher (replicate),7600,0.9380263157894737,471,0.9189473684210526,616,0.8386411889596603,0.5708092485549133,0.8386411889596603,0.031000140272127927,27.052819167843523,0.9588157894736842,0.8716230240597087,0.5520169851380042,0.01678648690790809,-0.012281661521628736,0.0474164648047877,0.00897738859923991,-0.0214914440508667,0.036773973627282616,0.1716536099959023,-2.9918714115055223,3.217261680573535,0.05519660685658394,0.015794347149299514,0.09342133261458582,0.7187060478199718,
setfit_ag_news,syntactic,gold,7600,0.9380263157894737,471,0.9242105263157895,576,0.7367303609341825,0.4957142857142857,0.7367303609341825,0.03212231729555337,22.935156083405186,0.9514473684210526,0.7502714515112008,0.21868365180467092,-0.08397443009426594,-0.11992291511343067,-0.0459472282170559,-0.06379392909422849,-0.09994252215129505,-0.029735701878747633,-3.691242632036564,-7.268939151057812,-0.29562149260281184,-0.27846734873948287,-0.32168430884184307,-0.23161677389201799,,0.6064690026954178
setfit_ag_news,window,teacher (original),7600,0.9380263157894737,471,0.9260526315789473,562,0.832271762208068,0.6115444617784711,0.832271762208068,0.023846261747790715,34.90156113400774,0.965,0.8604122026963852,0.524416135881104,,,,,,,,,,,,,,
setfit_ag_news,window,teacher (replicate),7600,0.9380263157894737,471,0.9257894736842105,564,0.8386411889596603,0.6171875,0.8386411889596603,0.023705989619862533,35.37676352717999,0.9659210526315789,0.8490943327830855,0.49256900212314225,0.0066885141281924475,-0.023257045723295268,0.03813761740256937,0.006320433013865248,-0.022628590973844297,0.0379910215896727,0.5852802272522178,-4.330578554447097,5.4008162999637435,-0.03283839421183592,-0.07054631987605295,0.006003688524590164,0.7349768875192604,
setfit_ag_news,window,gold,7600,0.9380263157894737,471,0.9217105263157894,595,0.8004246284501062,0.5471698113207547,0.8004246284501062,0.030579323888343387,26.1753540193615,0.9559210526315789,0.7496663413609669,0.24203821656050956,-0.031049093009527278,-0.0696262538214709,0.004369000496007634,-0.06373271687317637,-0.10055817168008344,-0.031376447772788876,-8.78773701973256,-14.148691229114071,-4.470965641685894,-0.2821288092463787,-0.3274734872114784,-0.2422785621434246,,0.6463068181818182
setfit_ag_news,skipgrams,teacher (original),7600,0.9380263157894737,471,0.9257894736842105,564,0.8365180467091295,0.6146645865834633,0.8365180467091295,0.023846261747790715,35.079630323466965,0.9653947368421053,0.8640654378129672,0.5371549893842887,,,,,,,,,,,,,,
setfit_ag_news,skipgrams,teacher (replicate),7600,0.9380263157894737,471,0.9256578947368421,565,0.8237791932059448,0.5987654320987654,0.8237791932059448,0.024828166643287977,33.179219595283506,0.9647368421052631,0.8475215073730282,0.5222929936305732,-0.011818340705791058,-0.04019451530612252,0.020669103623649113,-0.015010361501176246,-0.04812678173830754,0.01810118653572751,-1.8408640404609993,-7.223083714334038,3.4400730110307105,-0.01405648948568719,-0.05020894102726697,0.025317793775256267,0.6850746268656717,
setfit_ag_news,skipgrams,gold,7600,0.9380263157894737,471,0.9307894736842105,526,0.7537154989384289,0.5529595015576324,0.7537154989384289,0.023986533875718894,31.422443227672865,0.9601315789473684,0.7689206531852674,0.23354564755838642,-0.08155195807434029,-0.12128926020273549,-0.044346596672753064,-0.06027474588955267,-0.09841945645591627,-0.022862997349294832,-3.5234848770878027,-8.99010148785401,1.7948735426998093,-0.3037524757327821,-0.3499030815109343,-0.2609538155257884,,0.5788712011577424
stanfordnlp_sst2,constituency,teacher (original),872,0.9162844036697247,73,0.8899082568807339,96,0.7123287671232876,0.4444444444444444,0.7123287671232876,0.05506883604505632,12.935242839352426,0.9254587155963303,0.8304180902977513,0.410958904109589,,,,,,,,,,,,,,
stanfordnlp_sst2,constituency,teacher (replicate),872,0.9162844036697247,73,0.8922018348623854,94,0.7123287671232876,0.45217391304347826,0.7123287671232876,0.052565707133917394,13.551206784083496,0.9277522935779816,0.8115543290360333,0.3424657534246575,-6.2467168761690674e-06,-0.10850066934404284,0.10303431372549007,0.006425380738577093,-0.07025918094870327,0.0814088898137871,0.5252222819975723,-3.448316604709909,4.8343441539812115,-0.06871170169525502,-0.16216216216216214,0.017264890282131618,0.6101694915254238,
stanfordnlp_sst2,constituency,gold,872,0.9162844036697247,73,0.8990825688073395,88,0.6575342465753424,0.4247787610619469,0.6575342465753424,0.05006257822277847,13.134246575342464,0.9254587155963303,0.7959736430481689,0.3013698630136986,-0.053495039667244434,-0.1449710144927537,0.03126240079365078,-0.018000100038248496,-0.09259259259259262,0.056681923692204,0.35392557090272087,-3.853496984239781,5.290412020662363,-0.1094758205964987,-0.1977325581395349,-0.025293300401358434,,0.4918032786885246
stanfordnlp_sst2,constituency,teacher (replicate) [gnn_models_control_seed1],872,0.9162844036697247,73,0.8899082568807339,96,0.7671232876712328,0.49557522123893805,0.7671232876712328,0.05006257822277847,15.323287671232876,0.9346330275229358,0.8020427978202088,0.3424657534246575,0.054381365499994144,-0.04287267080745349,0.16010958904109582,0.05073457228964085,-0.02418717682108215,0.1268827380952381,2.447149448335387,-1.5899743902383223,7.387772738195363,-0.06775784958530752,-0.1519148251448187,0.010446947674418595,0.6,
