dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,auroc_confidence,auroc_explanation,auroc_confidence_plus_explanation,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,bootstrap_reps
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,0.9480466681069772,0.9461282969450602,0.9478112130735259,-0.00016142542292638885,-0.0064267392246224716,0.005554640221708747,1000
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,0.8453759604693766,0.829228371276027,0.8366755733557092,-0.00857795529923601,-0.019761820245225704,0.003658898099842938,1000
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,0.9490695371291196,0.9470577535290425,0.9540155604879897,0.004928771822245091,0.0009347772930580645,0.009899860600278464,1000
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,0.8460599288764167,0.8396009983106133,0.8492794402848169,0.0035021812665900526,-0.009219983332104748,0.016499681037537597,1000
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,0.9351499603025238,0.9406270425358566,0.9418926838395971,0.006848124128117506,0.0025047394828864394,0.011595420067821313,1000
setfit_ag_news,graphsvx,syntactic,gold_label,7600,606,0.0797368421052631,0.9380263157894737,0.839939184081405,0.8438052984594999,0.8467491230106711,0.006952017716045153,-0.0025776411788724666,0.01654742057041312,1000
setfit_ag_news,graphsvx,window,teacher_agreement,7600,266,0.03500000000000003,0.9380263157894737,0.9446321694610128,0.9433004381693257,0.9493880597320954,0.004943779935756425,-0.0017190860824286612,0.013263694005853418,1000
setfit_ag_news,graphsvx,window,gold_label,7600,562,0.07394736842105265,0.9380263157894737,0.8359406839738319,0.835835762950288,0.8422796835480802,0.006451704486841104,-0.005052809585839058,0.017465547438390867,1000
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,0.948047178855423,0.94145699166101,0.9452431698887233,-0.002782298782427538,-0.0098743559381164,0.0027619927812686123,1000
setfit_ag_news,subgraphx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,0.8453757125103275,0.8199995834287975,0.8320506411725089,-0.013333157173102055,-0.02605448479092888,-0.0009335205242616849,1000
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,0.9497836633014292,0.9472463906311621,0.9517140841953721,0.001874358560311983,-0.0015689708056606493,0.004899438403914111,1000
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,0.8407191082134835,0.8204237880968798,0.8429953955140533,0.0021670017082474173,-0.011406608285992445,0.016829437988404514,1000
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,0.9351499603025238,0.9380784342431772,0.9379805441218065,0.0028985641016044702,-0.005060855798873223,0.009249763714966452,1000
setfit_ag_news,subgraphx,syntactic,gold_label,7600,606,0.0797368421052631,0.9380263157894737,0.839939184081405,0.8288860985040454,0.837894055347771,-0.0020443636358986046,-0.011463042117453475,0.0068607874497408905,1000
setfit_ag_news,subgraphx,window,teacher_agreement,7600,266,0.03500000000000003,0.9380263157894737,0.9441969732074937,0.9385655644428771,0.940689260648212,-0.0034299994968974646,-0.012277787126932959,0.004810117133953852,1000
setfit_ag_news,subgraphx,window,gold_label,7600,562,0.07394736842105265,0.9380263157894737,0.8402844143485441,0.8278099367035484,0.840878798267463,0.0004576871693596448,-0.012385304730423782,0.013017978626702262,1000
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,0.8868036687564534,0.862640231177997,0.8852889680289742,-0.0014405834219132952,-0.006996876495416554,0.004701533896990751,1000
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,0.8868036687564534,0.862640231177997,0.8852889680289742,-0.0014405834219132952,-0.006996876495416554,0.004701533896990751,1000
stanfordnlp_sst2,graphsvx,constituency,teacher_agreement,872,62,0.07110091743119262,0.9174311926605505,0.932357626443648,0.9120669056152928,0.9146953405017921,-0.017156217303262302,-0.031970119252875365,-0.0033645400282728954,1000
stanfordnlp_sst2,graphsvx,constituency,gold_label,872,96,0.11009174311926606,0.9174311926605505,0.8080836554982818,0.7867133805841925,0.7894115120274915,-0.01814000166937411,-0.03920389419318037,0.0026606855318979236,1000
stanfordnlp_sst2,graphsvx,skipgrams,teacher_agreement,872,72,0.08256880733944949,0.9174311926605505,0.9079166666666667,0.9093749999999999,0.9130034722222222,0.005334548248693137,-0.010850644930028911,0.01896165123343362,1000
stanfordnlp_sst2,graphsvx,skipgrams,gold_label,872,106,0.12155963302752293,0.9174311926605505,0.8218631459677818,0.7988201389230996,0.8064190354204641,-0.015515332455012722,-0.03981458891526035,0.002286878959319654,1000
stanfordnlp_sst2,graphsvx,syntactic,teacher_agreement,872,71,0.08142201834862384,0.9174311926605505,0.8717975769724464,0.8821543493168751,0.8790596261715109,0.007406229226414407,-0.01107199759170203,0.024770348155175495,1000
stanfordnlp_sst2,graphsvx,syntactic,gold_label,872,109,0.125,0.9174311926605505,0.8020128175838973,0.7941611456467109,0.8002092175983263,-0.0016455930449967742,-0.024332228717266875,0.021199386580702095,1000
stanfordnlp_sst2,graphsvx,window,teacher_agreement,872,58,0.0665137614678899,0.9174311926605505,0.9136236550029654,0.9086037448106414,0.9067609929678895,-0.0064234324886182975,-0.019921940513266415,0.005682489309240374,1000
stanfordnlp_sst2,graphsvx,window,gold_label,872,98,0.11238532110091748,0.9174311926605505,0.8205584559405157,0.8063861203396088,0.8041580973474661,-0.015893560841230815,-0.0343423668323862,0.0034359674102200015,1000
stanfordnlp_sst2,subgraphx,constituency,teacher_agreement,872,62,0.07110091743119262,0.9174311926605505,0.932357626443648,0.9315810434090004,0.936479490242931,0.00434598007567034,-0.010801414180312798,0.024941345982674203,1000
stanfordnlp_sst2,subgraphx,constituency,gold_label,872,96,0.11009174311926606,0.9174311926605505,0.8080836554982818,0.7654370704467354,0.7966467998281787,-0.011711773778512515,-0.03255811113960219,0.009646081701314218,1000
stanfordnlp_sst2,subgraphx,skipgrams,teacher_agreement,872,72,0.08256880733944949,0.9174311926605505,0.9141840277777777,0.8759548611111112,0.8884548611111112,-0.02621885947800674,-0.05932899382788868,0.00017702233057869394,1000
stanfordnlp_sst2,subgraphx,skipgrams,gold_label,872,106,0.12155963302752293,0.9174311926605505,0.8228853638110252,0.7870338440317256,0.8009631016306221,-0.02191300492785175,-0.038460929237585886,-0.00812452002991583,1000
stanfordnlp_sst2,subgraphx,syntactic,teacher_agreement,872,71,0.08142201834862384,0.9174311926605505,0.8717975769724464,0.8730987673858381,0.8724657558333773,0.00037740613552485094,-0.0166216144612267,0.01682633391585222,1000
stanfordnlp_sst2,subgraphx,syntactic,gold_label,872,109,0.125,0.9174311926605505,0.8020128175838973,0.7802974737576204,0.7999567136003464,-0.001762736624336025,-0.02518708088768163,0.02290663469526605,1000
