dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,feature,auroc_correct,auroc_error_oriented
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,prediction_confidence,0.9543370459637851,0.9543370459637851
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,consistency_baseline_margin,0.9542108910977056,0.9542108910977056
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,auc_origin_entropy,0.046973534547791,0.953026465452209
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,auc_deletion_auc,0.9218095204531769,0.9218095204531769
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,auc_insertion_auc,0.6469001910709935,0.6469001910709935
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,fidelity_minus,0.20544958376555422,0.7945504162344458
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,fidelity_plus,0.8550268628144997,0.8550268628144997
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,fidelity_asymmetry,0.1370813075773107,0.8629186924226893
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,consistency_preservation_necessity,0.8931483606762514,0.8931483606762514
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,consistency_preservation_sufficiency,0.8199601514062692,0.8199601514062692
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,progression_maskout_drop_k5,0.11718510187643867,0.8828148981235613
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,progression_sufficiency_drop_k5,0.7148514411533516,0.7148514411533516
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,prediction_confidence,0.8540451047428614,0.8540451047428614
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,consistency_baseline_margin,0.8545891268965148,0.8545891268965148
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,auc_origin_entropy,0.14673943768838688,0.8532605623116132
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,auc_deletion_auc,0.816252178320246,0.816252178320246
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,auc_insertion_auc,0.5639912877108519,0.5639912877108519
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,fidelity_minus,0.26296763836858816,0.7370323616314118
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,fidelity_plus,0.7419533569191981,0.7419533569191981
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,fidelity_asymmetry,0.2261646884493732,0.7738353115506268
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,consistency_preservation_necessity,0.7959495393416787,0.7959495393416787
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,consistency_preservation_sufficiency,0.7350989009463109,0.7350989009463109
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,progression_maskout_drop_k5,0.20045703811924054,0.7995429618807595
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,progression_sufficiency_drop_k5,0.663496634203868,0.663496634203868
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,prediction_confidence,0.9577756058023529,0.9577756058023529
