dataset,module,sparsity,kept-only conf. (suff.),removed conf. (1-nec.),F+ (drop keep-only),F- (drop remove)
setfit,graphsvx_constituency,0.2213036277590336,1.0338513226121515,0.6021427215320182,-0.02662651320429224,0.3697448021706001
setfit,graphsvx_skipgrams,0.2588051212769352,1.005166681016961,0.8810129376888088,0.0008028565739330163,0.10099937162053382
setfit,graphsvx_syntactic,0.2588051212769352,1.0256424010227492,0.8636319070142894,-0.01717610625059984,0.11529892307130034
setfit,graphsvx_window,0.2588051212769352,1.016835746330316,0.882195819724571,-0.009656153980054387,0.09864797574190702
setfit,subgraphx_constituency,0.16504339013334893,0.36115118289833736,0.9699034319255112,0.6179705382599289,0.02292426845352897
setfit,subgraphx_skipgrams,0.1897355845688865,0.45250842536648,0.9820574702417794,0.5365312919562204,0.014296451274743638
setfit,subgraphx_syntactic,0.18532707263837275,0.7639532711884388,0.9696082201347308,0.22672371838257133,0.025137116730115094
setfit,subgraphx_window,0.18978567339080907,0.5927619664061273,0.9829119111604965,0.39672137315317646,0.013678582720213389
setfit,token_shap_llm_tokens,0.20872632577861927,0.7565758582405404,0.9745611666037539,0.23033584226000622,0.020838148865709567
stanfo,graphsvx_constituency,0.2585044631651496,1.0767291578896974,0.6865103989583184,-0.05891881972004512,0.2673478748342567
stanfo,graphsvx_skipgrams,0.3543233407677656,0.9973249574812332,0.8585790267312475,0.013448273370025325,0.11328635880415999
stanfo,graphsvx_syntactic,0.35470560376470756,1.0291803599294909,0.7763010413342571,-0.017381682445149923,0.1904304032470313
stanfo,graphsvx_window,0.35470560376470756,1.009236277604205,0.8431796540976643,0.004169659090971702,0.1268064997184577
stanfo,subgraphx_constituency,0.14783242059624474,0.6498806606062318,0.9649189024068452,0.3366785375999475,0.0270010185761189
stanfo,subgraphx_skipgrams,0.20635658952546848,0.7119989043677278,0.9696521665509659,0.2743456625986263,0.024857870089488258
stanfo,subgraphx_syntactic,0.2097200187331811,0.9495663869096492,0.8697311019233227,0.04926146676234146,0.11214760692636351
stanfo,subgraphx_window,0.2100550727333534,0.7512601188621961,0.9491624514143011,0.23707354882168113,0.0418842925579039
stanfo,token_shap_llm_tokens,0.22277422142954045,0.6701403870022393,0.883297108996276,0.31386282621352046,0.1062058494845512
