dataset,module,target,majority,acc,bal_acc,AUROC,MCC
setfit,graphsvx_constituency,gold,0.9044736842105263,0.8172368421052632,0.7400475380941961,0.8302979807330853,0.3462296692761415
setfit,graphsvx_constituency,teacher,0.9380263157894737,0.8648684210526316,0.8298181912400503,0.9022672562265488,0.42236450292118555
setfit,graphsvx_skipgrams,gold,0.9257894736842105,0.8377631578947369,0.7533641575847012,0.836810133497837,0.34196373454517054
setfit,graphsvx_skipgrams,teacher,0.9653947368421053,0.9101315789473684,0.8709704083319556,0.9430714991622751,0.4289540122424575
setfit,graphsvx_syntactic,gold,0.9202631578947369,0.8410526315789474,0.7795007696365862,0.8523552955810307,0.3845727092436842
setfit,graphsvx_syntactic,teacher,0.9582894736842106,0.8948684210526315,0.875749065170998,0.9366391029453233,0.44002951718264893
setfit,graphsvx_window,gold,0.9260526315789473,0.8464473684210526,0.7648264783245806,0.8328441232597015,0.3619075128202489
setfit,graphsvx_window,teacher,0.965,0.8961842105263158,0.8755600140246991,0.9448966703642115,0.41242592204901984
setfit,subgraphx_constituency,gold,0.9044736842105263,0.8252631578947368,0.7377089059184967,0.8115037619296089,0.3497069953059528
setfit,subgraphx_constituency,teacher,0.9380263157894737,0.8661842105263158,0.8334938570635951,0.9064670811693156,0.42759438365529834
setfit,subgraphx_skipgrams,gold,0.9257894736842105,0.843421052631579,0.7621281030888762,0.8345136864514413,0.3566616674080963
setfit,subgraphx_skipgrams,teacher,0.9653947368421053,0.9107894736842105,0.869478154113403,0.9400698890098677,0.4287636857713734
setfit,subgraphx_syntactic,gold,0.9202631578947369,0.8503947368421053,0.7777942149376504,0.8445765866263493,0.3916261826162698
setfit,subgraphx_syntactic,teacher,0.9582894736842106,0.9019736842105263,0.8779476946226704,0.9335893492082812,0.4533008620168638
setfit,subgraphx_window,gold,0.9260526315789473,0.8380263157894737,0.7635542793113945,0.8329867147230237,0.353019722572012
setfit,subgraphx_window,teacher,0.965,0.8985526315789474,0.8604834625423663,0.9191068071050272,0.4022789367134293
setfit,token_shap_llm_tokens,gold,0.9380263157894737,0.8703947368421052,0.7772435424936691,0.8435790061168774,0.37360218426326813
stanfo,graphsvx_constituency,gold,0.8899082568807339,0.7591743119266054,0.7095146048109966,0.7775048324742269,0.294427022776636
stanfo,graphsvx_constituency,teacher,0.9288990825688074,0.875,0.8284547988849065,0.9108721624850658,0.4559447070599239
stanfo,graphsvx_skipgrams,gold,0.8784403669724771,0.7786697247706422,0.7155155426375683,0.7960121188235874,0.32380927050430086
stanfo,graphsvx_skipgrams,teacher,0.9174311926605505,0.8692660550458715,0.8465972222222222,0.9119791666666667,0.49290852219408887
stanfo,graphsvx_syntactic,gold,0.875,0.7534403669724771,0.7450851900393185,0.7909266896725864,0.35208332081333177
stanfo,graphsvx_syntactic,teacher,0.9185779816513762,0.8073394495412844,0.805278613001354,0.8723602539079671,0.3898790063398079
stanfo,graphsvx_window,gold,0.8876146788990825,0.7488532110091743,0.7114776143015346,0.7873490481463903,0.2950497530411777
stanfo,graphsvx_window,teacher,0.9334862385321101,0.8543577981651376,0.841925781580954,0.8932262983987121,0.4350471863295414
stanfo,subgraphx_constituency,gold,0.8899082568807339,0.7786697247706422,0.7387242268041236,0.7820554123711341,0.33960161005674394
stanfo,subgraphx_constituency,teacher,0.9288990825688074,0.8818807339449541,0.854500199123855,0.9175826363998407,0.49209964351547897
stanfo,subgraphx_skipgrams,gold,0.8784403669724771,0.7752293577981652,0.7420069954184936,0.7878590078328983,0.3550521325186169
stanfo,subgraphx_skipgrams,teacher,0.9174311926605505,0.8440366972477065,0.8138888888888889,0.8844965277777778,0.4304832188310156
stanfo,subgraphx_syntactic,gold,0.875,0.7327981651376146,0.7175622542595019,0.7754518017963856,0.3093936477245391
stanfo,subgraphx_syntactic,teacher,0.9185779816513762,0.805045871559633,0.7655219707759666,0.8355400819398288,0.3448391787533898
stanfo,subgraphx_window,gold,0.8876146788990825,0.7522935779816514,0.7089595528133734,0.7509755840320624,0.293306051785192
stanfo,subgraphx_window,teacher,0.9334862385321101,0.8669724770642202,0.8566889773786326,0.9113996441582648,0.4637960795788944
stanfo,token_shap_llm_tokens,gold,0.9162844036697247,0.7947247706422018,0.7012789960052805,0.7937147461724415,0.2690656156933991
