dataset,graph,n,bert_accuracy,surrogate_accuracy,surrogate_only_errors,bert_only_errors,gap_points,gap_ci_low,gap_ci_high,mcnemar_p,disagreement_rate,share_low_conf_all,share_low_conf_among_disagreements,disagreement_rate_within_low_conf,bert_accuracy_on_disagreements,surrogate_accuracy_on_disagreements
setfit_ag_news,constituency,7600,0.9380263157894737,0.9347368421052632,78,53,0.3289473684210526,0.02631578947368421,0.631578947368421,0.03559998587055829,0.017763157894736842,0.14394736842105263,0.9407407407407408,0.11608775137111517,0.5777777777777777,0.3925925925925926
setfit_ag_news,syntactic,7600,0.9380263157894737,0.9363157894736842,72,59,0.17105263157894737,-0.11842105263157895,0.4473684210526315,0.294406156523514,0.017763157894736842,0.14394736842105263,0.9407407407407408,0.11608775137111517,0.5333333333333333,0.43703703703703706
setfit_ag_news,window,7600,0.9380263157894737,0.9371052631578948,66,59,0.09210526315789473,-0.19736842105263158,0.3684210526315789,0.5916839270941626,0.017105263157894738,0.14394736842105263,0.9461538461538461,0.11243144424131626,0.5076923076923077,0.45384615384615384
setfit_ag_news,skipgrams,7600,0.9380263157894737,0.9371052631578948,69,62,0.09210526315789473,-0.1845394736842105,0.3819078947368418,0.6002946177102672,0.018157894736842106,0.14394736842105263,0.9637681159420289,0.12157221206581353,0.5,0.4492753623188406
stanfordnlp_sst2,constituency,872,0.9162844036697247,0.9105504587155964,11,6,0.573394495412844,-0.34403669724770647,1.6055045871559634,0.332305908203125,0.0194954128440367,0.14678899082568808,1.0,0.1328125,0.6470588235294118,0.35294117647058826
stanfordnlp_sst2,syntactic,872,0.9162844036697247,0.9036697247706422,19,8,1.261467889908257,0.11467889908256881,2.522935779816514,0.052238985896110535,0.03096330275229358,0.14678899082568808,0.8888888888888888,0.1875,0.7037037037037037,0.2962962962962963
stanfordnlp_sst2,window,872,0.9162844036697247,0.9128440366972477,11,8,0.34403669724770647,-0.5762614678899081,1.3761467889908259,0.6476058959960938,0.021788990825688075,0.14678899082568808,0.9473684210526315,0.140625,0.5789473684210527,0.42105263157894735
stanfordnlp_sst2,skipgrams,872,0.9162844036697247,0.9105504587155964,12,7,0.573394495412844,-0.34403669724770647,1.6055045871559634,0.359283447265625,0.021788990825688075,0.14678899082568808,0.9473684210526315,0.140625,0.631578947368421,0.3684210526315789
