method,dataset,n,phrase_share_graph,phrase_share_explanation,share_phrase_dominated_explanations,decision_kept_correct_phrase_dominated,decision_kept_correct_word_dominated
subgraphx,setfit_ag_news,7600,0.5220391538352706,0.661203484113094,0.9510526315789474,0.6803072832028365,0.7611940298507462
subgraphx,stanfordnlp_sst2,872,0.5469190902706933,0.7502718163816416,0.9002293577981652,0.6372549019607843,0.9875
graphsvx,setfit_ag_news,7600,0.5220391538352706,0.33035544648629317,0.12118421052631578,0.9383033419023136,0.9939930445779324
graphsvx,stanfordnlp_sst2,872,0.5469190902706933,0.3706406581502827,0.2591743119266055,1.0,1.0
