dataset,method,graph,feature,block,coef,ci_low,ci_high,significant_95
setfit_ag_news,graphsvx,syntactic,auc_insertion_auc,AUC,0.8466164756062988,-0.036467587526491485,1.6265761153649756,False
setfit_ag_news,graphsvx,syntactic,consistency_baseline_margin,confidence,-0.8837761541124061,-1.9563887473246921,0.1624866702084951,False
setfit_ag_news,graphsvx,syntactic,consistency_preservation_necessity,Consistency,1.440903267139444,0.5227421752453483,2.1822408084258704,True
setfit_ag_news,graphsvx,syntactic,consistency_preservation_sufficiency,Consistency,0.8352944758379365,0.2125237280698204,1.6094397630324617,True
setfit_ag_news,graphsvx,syntactic,fidelity_asymmetry,Fidelity,0.05628196935374306,-0.6957285785147052,0.4844882633762232,False
setfit_ag_news,graphsvx,syntactic,fidelity_minus,Fidelity,0.17486651668702258,-0.5531766351431022,0.659301444863441,False
setfit_ag_news,graphsvx,syntactic,fidelity_plus,Fidelity,0.4226602418825198,-0.03864930816774193,0.8288926092678214,False
setfit_ag_news,graphsvx,syntactic,progression_concentration_top1,Progression,0.04051525533193158,-0.1309154121143977,0.22102918702373878,False
setfit_ag_news,graphsvx,syntactic,progression_concentration_top10,Progression,0.0022458980479289747,-0.5013637456790885,0.16974383860543035,False
setfit_ag_news,graphsvx,syntactic,progression_concentration_top3,Progression,0.13505964723068717,-0.36592508765432785,0.465947804836032,False
setfit_ag_news,graphsvx,syntactic,progression_concentration_top5,Progression,-0.6251506975724652,-0.894682322671287,-0.3427565364531512,True
setfit_ag_news,graphsvx,syntactic,progression_maskout_drop_k1,Progression,-0.007636106368110537,-0.2604695229288389,0.2265222993443636,False
setfit_ag_news,graphsvx,syntactic,progression_maskout_drop_k10,Progression,-0.10315336586507962,-0.9259585434271819,1.2352312258840814,False
setfit_ag_news,graphsvx,syntactic,progression_maskout_drop_k3,Progression,-0.31505373654034513,-0.7635499823724619,0.3034681146355109,False
setfit_ag_news,graphsvx,syntactic,progression_maskout_drop_k5,Progression,0.22497031544491608,-0.3255676582681073,0.6178638237484845,False
setfit_ag_news,graphsvx,syntactic,progression_sufficiency_drop_k1,Progression,0.053721924569882035,-0.26329565307637554,0.29110676965890986,False
setfit_ag_news,graphsvx,syntactic,progression_sufficiency_drop_k10,Progression,-0.15454314464826238,-0.5051062014714719,0.3209769420114509,False
setfit_ag_news,graphsvx,syntactic,progression_sufficiency_drop_k3,Progression,0.12067083054516156,-0.2949466343433589,0.5611141537982955,False
setfit_ag_news,graphsvx,syntactic,progression_sufficiency_drop_k5,Progression,-0.03872335373802216,-0.5299263695221035,0.45989469671462085,False
setfit_ag_news,graphsvx,window,auc_deletion_auc,AUC,-0.9913424877920983,-1.960197377017735,0.2526986949764215,False
