dataset,method,regime,n,n_bert_errors,addition,n_added,auroc_base,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,graphsvx,all,7600,471,bert_explanation,19,0.8868036687564534,0.8852889680289742,-0.0014405834219132952,-0.006996876495416554,0.004701533896990751,0.3342144929388435,0.35446132758735255,0.018953350706376028,-0.0016837744462236568,0.03778116376591693
setfit_ag_news,graphsvx,all,7600,471,constituency:gnn_confidence,3,0.8868036687564534,0.8852079616196398,-0.0015878081560273174,-0.004191223928041973,-9.251264763588424e-05,0.3342144929388435,0.32913244677895737,-0.005209267601425644,-0.010339564866600029,-9.681311836903449e-05
setfit_ag_news,graphsvx,all,7600,471,constituency:gnn_disagreement,1,0.8868036687564534,0.8865835814899162,-0.00021080157727212812,-0.0006007387045974727,0.00018585288262762672,0.3342144929388435,0.3340661433269705,2.7314706655861722e-05,-0.005653252564707517,0.005287342604512271
setfit_ag_news,graphsvx,all,7600,471,constituency:gnn_confidence+explanation,22,0.8868036687564534,0.8779867762993115,-0.008744940337222782,-0.014934368736819132,-0.0036263151666236517,0.3342144929388435,0.3131597655156773,-0.021098415856529475,-0.03495624223856861,-0.0074706903403576365
setfit_ag_news,graphsvx,all,7600,471,constituency:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.8780284707747043,-0.008633317853941844,-0.016667808209204417,-0.0005513561146978224,0.3342144929388435,0.3329942804226476,-0.0015584581446586015,-0.022551096169851206,0.019867829609721072
setfit_ag_news,graphsvx,all,7600,471,syntactic:gnn_confidence,3,0.8868036687564534,0.8848094815619586,-0.002006077266624737,-0.004860792214140553,9.214876740840883e-05,0.3342144929388435,0.33076490676538667,-0.003917910431662215,-0.013092154764215623,0.004418985372721241
setfit_ag_news,graphsvx,all,7600,471,syntactic:gnn_disagreement,1,0.8868036687564534,0.8872998330136261,0.0005149866156474501,-0.0005281073454093871,0.0015577357545185544,0.3342144929388435,0.3438277617267281,0.009434322195077983,-0.0023804911252100656,0.02182496094914065
setfit_ag_news,graphsvx,all,7600,471,syntactic:gnn_confidence+explanation,22,0.8868036687564534,0.8775805529819144,-0.009383819678489374,-0.016063923857222096,-0.003996781598628818,0.3342144929388435,0.3295034083213959,-0.005485259164172336,-0.02146528384752216,0.010783940016953274
setfit_ag_news,graphsvx,all,7600,471,syntactic:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.8778989200833056,-0.009011405129924585,-0.017431063782876767,-0.0010067066908063585,0.3342144929388435,0.35008189958011005,0.014246974966743584,-0.009727850193182803,0.038445235114700015
setfit_ag_news,graphsvx,all,7600,471,window:gnn_confidence,3,0.8868036687564534,0.8863197150242171,-0.0005117380908150821,-0.0029772499433460553,0.001242700009005834,0.3342144929388435,0.34308565110657585,0.00876221491134582,-0.0043214273622677254,0.0221951239300563
setfit_ag_news,graphsvx,all,7600,471,window:gnn_disagreement,1,0.8868036687564534,0.8873823285113672,0.0005989269804884138,-0.00027724212361387166,0.0014325676759591455,0.3342144929388435,0.3479498771799123,0.013074274889955134,0.000342945133874037,0.025917270471882657
