dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,feature_set,n_features,accuracy,balanced_accuracy,auroc,auprc_error,mcc,precision_error,recall_error,f1_error
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,majority baseline,0,0.9814473684210526,0.5,0.5,0.01855263157894737,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence,3,0.9425,0.9393949334375438,0.9739749876155133,0.3395957448761417,0.453894120702837,0.2357142857142857,0.9361702127659575,0.37660485021398005
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,explanation,19,0.9434210526315789,0.9224688343559448,0.9748782707167979,0.4031060087212537,0.4426541686497278,0.23388581952117865,0.900709219858156,0.3713450292397661
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence+explanation,22,0.9405263157894737,0.9279522381929013,0.9753907650237373,0.3703100187915052,0.4388443138018004,0.22671353251318102,0.9148936170212766,0.36338028169014086
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,paper (4 dimensions),20,0.9435526315789474,0.9190568012938818,0.974878270716798,0.4018319581731942,0.4402035279058423,0.23333333333333334,0.8936170212765957,0.3700440528634361
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,majority baseline,0,0.9347368421052632,0.5,0.5,0.06526315789473684,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,confidence,3,0.8955263157894737,0.7378260316768381,0.819883107654025,0.29170928493312315,0.3727523158982921,0.3247058823529412,0.5564516129032258,0.4101040118870728
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,explanation,19,0.8468421052631578,0.7596061283057252,0.8371027907948272,0.3201413434283834,0.3383069091176476,0.24735249621785174,0.6592741935483871,0.35973597359735976
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,confidence+explanation,22,0.8465789473684211,0.7735305870386515,0.843360056124673,0.31130594696278013,0.35311639795028293,0.25258493353028066,0.6895161290322581,0.36972972972972973
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,paper (4 dimensions),20,0.8469736842105263,0.7606141928218542,0.836801393126998,0.31932453971213187,0.33951923775091847,0.24792139077853365,0.6612903225806451,0.3606377130291369
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,majority baseline,0,0.9810526315789474,0.5,0.5,0.018947368421052633,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,confidence,3,0.9471052631578948,0.949205710538865,0.9815873494873629,0.39069871844951076,0.4800708910143962,0.2575187969924812,0.9513888888888888,0.40532544378698226
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,explanation,19,0.9403947368421053,0.9423804840247973,0.9832722341440153,0.45478951875633145,0.4539776406262271,0.23407917383820998,0.9444444444444444,0.37517241379310345
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,confidence+explanation,22,0.9410526315789474,0.9393106223175965,0.9828680108488316,0.4450375939669888,0.45334191713830363,0.23519163763066203,0.9375,0.37604456824512533
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,paper (4 dimensions),20,0.9405263157894737,0.9424475441106342,0.9832433610515022,0.4544591386563247,0.45440534099530255,0.23448275862068965,0.9444444444444444,0.3756906077348066
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,majority baseline,0,0.9371052631578948,0.5,0.5,0.06289473684210527,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence,3,0.9032894736842105,0.7395738233465988,0.8154472146533989,0.2925644703124189,0.3822227510403123,0.3363057324840764,0.5523012552301255,0.4180522565320665
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,explanation,19,0.8215789473684211,0.7798970483351134,0.8614182702193333,0.3442482784664216,0.3350575219974345,0.2217997465145754,0.7322175732217573,0.3404669260700389
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence+explanation,22,0.8173684210526316,0.7786263084860512,0.8614311949889492,0.33704916225006015,0.33093571179962483,0.21774193548387097,0.7343096234309623,0.33588516746411484
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,paper (4 dimensions),20,0.8215789473684211,0.7798970483351134,0.8614476446957334,0.3428388448756094,0.3350575219974345,0.2217997465145754,0.7322175732217573,0.3404669260700389
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,majority baseline,0,0.9814473684210526,0.5,0.5,0.01855263157894737,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence,3,0.9335526315789474,0.9348366816611662,0.9723462255602495,0.31010438600208734,0.4262334382541858,0.21019108280254778,0.9361702127659575,0.3433029908972692
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,explanation,19,0.9253947368421053,0.916764363865253,0.9721836346020182,0.39799048146174965,0.39353917078962464,0.187683284457478,0.9078014184397163,0.3110571081409477
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence+explanation,22,0.9242105263157895,0.9161610658360265,0.9733921323091054,0.39579800825311096,0.3906561652765874,0.18523878437047755,0.9078014184397163,0.3076923076923077
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,paper (4 dimensions),20,0.9243421052631579,0.916228098950385,0.9729984910418087,0.39202507371454104,0.3909738239505484,0.1855072463768116,0.9078014184397163,0.30806257521058966
setfit_ag_news,graphsvx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,majority baseline,0,0.9363157894736842,0.5,0.5,0.06368421052631579,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,confidence,3,0.8942105263157895,0.7432465076953809,0.8274137202161117,0.3014445097327371,0.3727486044247215,0.3165137614678899,0.5702479338842975,0.40707964601769914
setfit_ag_news,graphsvx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,explanation,19,0.8181578947368421,0.7883224394798823,0.8532221649269021,0.296441401257517,0.3432116255772395,0.2242014742014742,0.7541322314049587,0.3456439393939394
setfit_ag_news,graphsvx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,confidence+explanation,22,0.8169736842105263,0.784801680765961,0.853374887925708,0.29659027593543613,0.3387937767160767,0.22194972409564684,0.7479338842975206,0.34231678486997635
setfit_ag_news,graphsvx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,paper (4 dimensions),20,0.8180263157894737,0.7892149689443879,0.8534535722083628,0.29598743650722936,0.34404372666610655,0.22440220723482526,0.756198347107438,0.34609929078014184
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,majority baseline,0,0.9821052631578947,0.5,0.5,0.017894736842105262,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,confidence,3,0.9446052631578947,0.9501410692894521,0.9760802833995336,0.30732010130979853,0.4625803104821849,0.23853211009174313,0.9558823529411765,0.38179148311306904
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,explanation,19,0.939078947368421,0.9473275644663011,0.9829958309690436,0.5065083364842229,0.4442628061922305,0.22146507666098808,0.9558823529411765,0.359612724757953
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,confidence+explanation,22,0.9385526315789474,0.9470596116260008,0.9830785811109009,0.5081543349499088,0.44261785713940727,0.21996615905245348,0.9558823529411765,0.3576341127922971
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,paper (4 dimensions),20,0.939078947368421,0.9473275644663011,0.9830165185045079,0.5084590715467129,0.4442628061922305,0.22146507666098808,0.9558823529411765,0.359612724757953
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,majority baseline,0,0.9371052631578948,0.5,0.5,0.06289473684210527,0.0,0.0,0.0,0.0
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence,3,0.9028947368421053,0.7325324676087649,0.8208788490845151,0.29065197910063273,0.373314541133031,0.33204134366925064,0.5376569037656904,0.41054313099041534
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,explanation,19,0.8210526315789474,0.7727854875986835,0.8508361150962485,0.3234048642285004,0.32731242733269283,0.21875,0.7175732217573222,0.33528836754643204
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence+explanation,22,0.8225,0.7735577425832385,0.8510340990671842,0.322690454333806,0.32909655528706555,0.22029543994861914,0.7175732217573222,0.3371007371007371
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,paper (4 dimensions),20,0.8213157894736842,0.7719500774898688,0.8508278902428564,0.3230428551381301,0.32661875995358636,0.2186700767263427,0.7154811715481172,0.33496571988246815
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,majority baseline,0,0.9814473684210526,0.5,0.5,0.01855263157894737,0.0,0.0,0.0,0.0
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence,3,0.9425,0.9393949334375438,0.9739749876155133,0.3395957448761417,0.453894120702837,0.2357142857142857,0.9361702127659575,0.37660485021398005
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,explanation,19,0.9411842105263157,0.9248083375882721,0.9615752876956677,0.35565287222995146,0.4381069053188478,0.2277580071174377,0.9078014184397163,0.36415362731152207
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence+explanation,22,0.9398684210526316,0.9206589402682656,0.9628665071183462,0.3437297272619739,0.4310174851790167,0.22280701754385965,0.900709219858156,0.35724331926863573
