dataset,method,graph,feature,block,coef,ci_low,ci_high,significant_95
setfit_ag_news,graphsvx,constituency,prediction_confidence,confidence,-2.453929081588808,-3.500842153919096,-1.1129990183715879,True
setfit_ag_news,graphsvx,constituency,consistency_baseline_margin,confidence,1.3050323650166253,0.17013891130919362,2.4033394344638066,True
setfit_ag_news,graphsvx,constituency,auc_origin_entropy,confidence,-1.4277310811401187,-1.756332245276153,-1.0392979107193248,True
setfit_ag_news,graphsvx,constituency,auc_deletion_auc,AUC,-0.9510773601431712,-2.114220600174652,0.03734872067689206,False
setfit_ag_news,graphsvx,constituency,auc_insertion_auc,AUC,1.0339925626673314,0.33117819020719014,1.7338669604056873,True
setfit_ag_news,graphsvx,constituency,consistency_preservation_necessity,Consistency,1.0370844641274566,-0.07984950393833166,2.346900012295744,False
setfit_ag_news,graphsvx,constituency,consistency_preservation_sufficiency,Consistency,0.7170527520028023,0.1567953739952453,1.2395697534151056,True
setfit_ag_news,graphsvx,constituency,fidelity_asymmetry,Fidelity,-0.1321812563410284,-0.45613518192218333,0.16974204907833096,False
setfit_ag_news,graphsvx,constituency,fidelity_minus,Fidelity,0.23103492526407024,-0.48561307983061647,0.8510785869695592,False
setfit_ag_news,graphsvx,constituency,fidelity_plus,Fidelity,0.29448760709635136,-0.09546994482672011,0.6289684946362943,False
setfit_ag_news,graphsvx,constituency,progression_concentration_top1,Progression,-0.18784607644905152,-0.3878885154979476,0.14685554741617105,False
setfit_ag_news,graphsvx,constituency,progression_concentration_top10,Progression,-0.3882268765991033,-0.6538354972655848,-0.18161937793421876,True
setfit_ag_news,graphsvx,constituency,progression_concentration_top3,Progression,-0.04088334247097584,-0.41112533804318985,0.21046975090541187,False
setfit_ag_news,graphsvx,constituency,progression_concentration_top5,Progression,0.3045414344659629,0.0787003704913071,0.7327750473618401,True
setfit_ag_news,graphsvx,constituency,progression_maskout_drop_k1,Progression,0.10833832243134599,-0.07530281132761872,0.30623628937765174,False
setfit_ag_news,graphsvx,constituency,progression_maskout_drop_k10,Progression,0.12635674106677933,-0.13980704213107417,0.5232752246747061,False
setfit_ag_news,graphsvx,constituency,progression_maskout_drop_k3,Progression,0.08101738444930529,-0.22382460351596412,0.5290216718751782,False
setfit_ag_news,graphsvx,constituency,progression_maskout_drop_k5,Progression,-0.11167784422243145,-0.6110691537657215,0.2209454026795332,False
setfit_ag_news,graphsvx,constituency,progression_sufficiency_drop_k1,Progression,-0.6003460786317122,-1.2318259480988947,0.023395040371083774,False
setfit_ag_news,graphsvx,constituency,progression_sufficiency_drop_k10,Progression,0.10546325846319334,-0.35243356648807816,0.5247709175548673,False
setfit_ag_news,graphsvx,constituency,progression_sufficiency_drop_k3,Progression,0.4529510723707431,-0.7709068163041883,1.6705421607577173,False
setfit_ag_news,graphsvx,constituency,progression_sufficiency_drop_k5,Progression,0.8275532540622756,-0.09588644242075663,1.7710073931492194,False
setfit_ag_news,graphsvx,skipgrams,prediction_confidence,confidence,-0.9353555143707319,-2.1339229944154305,-0.014130187087371952,True
