dataset,method,graph,n,spearman_deletion_confidence,spearman_insertion_confidence,spearman_insertion_explanation_only_confidence,spearman_deletion_explanation_only_confidence,mean_deletion_auc,mean_insertion_auc,mean_confidence,mean_explanation_only_confidence
setfit_ag_news,graphsvx,constituency,7600,0.8015950982096125,0.34409127065813994,0.6211116990213109,0.17058021866384426,0.9637203652851052,0.6959280294882714,0.9787743032527597,0.9011026510478635
setfit_ag_news,graphsvx,skipgrams,7600,0.9960462167132005,0.7496615585237062,0.9666107981758496,0.8214039521258892,0.9719572868420819,0.5875647381968058,0.9778967222218451,0.7620317670781361
setfit_ag_news,graphsvx,syntactic,7600,0.8699998306607989,0.8221608440810483,0.9007476725792867,0.6047778611288949,0.919620168427655,0.8858021082903083,0.9756874691616547,0.9567366513570673
setfit_ag_news,graphsvx,window,7600,0.9959518974502836,0.7103750899583803,0.9513111747904645,0.8252328464860453,0.9727546765522057,0.5180747332737875,0.9790963167736405,0.7052922038008508
setfit_ag_news,subgraphx,constituency,7600,0.9784273418795562,0.11436758749067825,0.9666110825011934,0.2763211648764793,0.9747712038949713,0.34893658110657605,0.9787743030566918,0.4932747408620229
setfit_ag_news,subgraphx,skipgrams,7600,0.9875221129381694,0.5522219622394728,0.9246680617242795,0.6273761309827047,0.9747586444634908,0.3611619904225679,0.9778967223159577,0.49808158663738716
setfit_ag_news,subgraphx,syntactic,7600,0.8167603034789316,0.5528457816349095,0.8493992010099881,0.17729537142392382,0.9588965399269685,0.6349795773418141,0.975687468891081,0.8155059145998798
setfit_ag_news,subgraphx,window,7600,0.9933212162032689,0.649839074035473,0.9532383990001084,0.7680652634848846,0.9754073517157403,0.40467286630300575,0.9790963169304948,0.5643749967786043
setfit_ag_news,token_shap_llm,tokens,7600,0.9675315210169141,0.25404759344026684,0.28810172063917316,0.42174272965501625,0.9383385148683158,0.5539237134482813,0.9476199820559276,0.7172841397959213
stanfordnlp_sst2,graphsvx,constituency,872,0.9266682594180519,0.3830042158926081,0.5471222270447558,0.7373009162077628,0.9421556952228094,0.856105792586467,0.9588822275400162,0.9341655551293574
stanfordnlp_sst2,graphsvx,skipgrams,872,0.994421312940047,0.7888729945040095,0.9810329331968274,0.8465409444724388,0.9506895046387813,0.8478800440204546,0.9608524754780148,0.8937707742966643
stanfordnlp_sst2,graphsvx,syntactic,872,0.6762264860592819,0.6341811019060839,0.8767228506899113,0.27940011327222625,0.8827767471288043,0.9209426411455834,0.9595509897404855,0.9452831806666261
stanfordnlp_sst2,graphsvx,window,872,0.9848431832778648,0.6083240105623995,0.9383115922978795,0.7526304136933359,0.947405312801305,0.807223896419093,0.9610997922376755,0.8747917392521823
stanfordnlp_sst2,subgraphx,constituency,872,0.9944964745037728,-0.041579706727997816,0.9499848177516448,0.007821082728866707,0.9536417134662801,0.5815824173348669,0.9588822296589886,0.6713762634664501
stanfordnlp_sst2,subgraphx,skipgrams,872,0.9919507036607236,0.5015784079623827,0.9568255782542807,0.4507242781458649,0.9562885242156404,0.5745465116986773,0.9608524760932003,0.6289197602095681
stanfordnlp_sst2,subgraphx,syntactic,872,0.6766821503388715,0.5830169665424921,0.7992301133530799,0.28240627705280336,0.9030277108510141,0.8713825304074737,0.9595509906290868,0.9195640730509244
stanfordnlp_sst2,subgraphx,window,872,0.9748871109943197,0.3984205538391046,0.9354479340306376,0.547258849406251,0.9518453388763081,0.6824871725835681,0.9610997923743834,0.7784936670726592
stanfordnlp_sst2,token_shap_llm,tokens,872,0.8308639310311345,0.3806640605258253,0.3277859733651452,0.27941958806421335,0.8969457128958886,0.5992290263943435,0.9489405774468676,0.6350777512333471
