dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,regime,n_regime,n_errors_regime,error_rate_regime,ece,share_of_errors_in_regime,auroc_confidence,auroc_confidence_plus_explanation,auprc_confidence,auprc_confidence_plus_explanation,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,all,7600,141,0.018552631578947376,0.0032132681890538685,1.0,0.9739749876155133,0.9753907650237373,0.3395957448761417,0.3703100187915052,0.001565413572846433,-0.0037914028813458064,0.007756417002455622,0.03409856644545661,-0.015542840953139736,0.0879421838412217
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence>0.9,7109,14,0.0019693346462230643,,0.09929078014184398,0.9094533373603142,0.9199939595288432,0.035975492487787725,0.06055317302591277,0.009602574716976845,-0.09753427052694964,0.14727594000001853,0.03571890392871029,-0.04595165527152082,0.17431975003734942
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence>0.95,6992,7,0.0010011441647597152,,0.04964539007092199,,,,,,,,,,
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,all,7600,496,0.0652631578947368,0.04441364386364028,1.0,0.819883107654025,0.843360056124673,0.29170928493312315,0.31130594696278013,0.024017801771256297,0.005230263897685425,0.043128413058398665,0.019827140397369186,-0.002799460106512704,0.044812856780215266
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,confidence>0.9,7109,302,0.0424813616542411,,0.6088709677419355,0.7733347148484663,0.7980905904225977,0.15468587958128766,0.1780756463706062,0.02375461143273103,-0.001793153322562676,0.04984264906897963,0.02320372089048232,-0.0017123148531605395,0.05146674732091951
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,confidence>0.95,6992,271,0.038758581235697975,,0.5463709677419355,0.7670889995613244,0.7971429528311055,0.12667745595250454,0.1610006659150446,0.030095813026853692,0.004387270325870555,0.055305288631532314,0.03534222440852935,0.010891622537780572,0.06306153434669101
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,all,7600,144,0.0189473684210526,0.006271534166053786,1.0,0.9815873494873629,0.9828680108488316,0.39069871844951076,0.4450375939669888,0.0012789508368746575,-0.0012155798175678134,0.003825667660887243,0.05290633343275918,-0.025338297573048816,0.13118775224303073
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,confidence>0.9,7116,10,0.0014052838673411783,,0.06944444444444445,0.9811145510835912,0.9037010976639459,0.04053100770955839,0.06218049599426612,-0.0732986944519009,-0.246030908493973,0.010560838678748416,0.0312060055333598,-0.03459405109886156,0.1628701025363154
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,confidence>0.95,6986,4,0.0005725737188663205,,0.027777777777777776,,,,,,,,,,
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,all,7600,478,0.06289473684210523,0.041594068200180315,1.0,0.8154472146533989,0.8614311949889492,0.2925644703124189,0.33704916225006015,0.04620074750022955,0.030991369395034284,0.06164365594907012,0.043855459975934,0.009457153450787226,0.08086957597846486
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence>0.9,7116,292,0.04103428892636307,,0.6108786610878661,0.7842801996177874,0.8179401066341198,0.16298274532753262,0.17800315968773545,0.033424537551109704,0.01414593837353616,0.052890499175373515,0.015311137331453591,-0.011091070405372945,0.045194314818806036
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence>0.95,6986,256,0.03664471800744351,,0.5355648535564853,0.7790995310178306,0.8001195672362555,0.15905371128228354,0.1471704348774335,0.02130746130938715,-0.001198875491085088,0.043834571419528116,-0.012726770455405255,-0.04247992558992081,0.012202962181024245
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,all,7600,141,0.018552631578947376,0.005939946656948572,1.0,0.9723462255602495,0.9733921323091054,0.31010438600208734,0.39579800825311096,0.0010399629407306637,-0.003934011539264073,0.005564988328592751,0.08805337107678962,0.010119645764089892,0.16616436964451875
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence>0.9,7047,16,0.0022704697034199306,,0.11347517730496454,0.9582740719670033,0.9297041672592803,0.03451137235552502,0.03033437518746304,-0.027728767491013342,-0.06387223983921944,0.0025021288781645378,-0.004954826901022006,-0.03306890879926876,0.024449250734632992
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence>0.95,6922,7,0.0010112684195319188,,0.04964539007092199,,,,,,,,,,
setfit_ag_news,graphsvx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,all,7600,484,0.06368421052631579,0.04100301037101378,1.0,0.8274137202161117,0.853374887925708,0.3014445097327371,0.29659027593543613,0.026028688973684082,0.012045523153184223,0.03959923337805857,-0.004721741053962859,-0.03468113882804163,0.025234247244251766
setfit_ag_news,graphsvx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,confidence>0.9,7047,272,0.038597984958138265,,0.5619834710743802,0.7739928369871935,0.7988989581072282,0.15042732493847114,0.1301049459795314,0.02525164680755393,0.002793576464749526,0.047451030211818415,-0.02098553809572273,-0.04252351308870491,-0.003615134453567695
setfit_ag_news,graphsvx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,confidence>0.95,6922,240,0.034672060098237534,,0.49586776859504134,0.7848673051980446,0.7855869001297017,0.1314833735155971,0.107008544850873,0.0004851433924539544,-0.020841256360339306,0.020200286315822304,-0.02534732328288551,-0.04985237752534501,-0.005721338861983415
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,all,7600,136,0.017894736842105297,0.004645747291414331,1.0,0.9760802833995336,0.9830785811109009,0.30732010130979853,0.5081543349499088,0.007042900200221462,0.0036175810957221636,0.010356681335522713,0.19995481235029944,0.11228804613114873,0.2874739752860969
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,confidence>0.9,7141,14,0.00196050973253048,,0.10294117647058823,0.9780512738278979,0.9347551564473131,0.05303126189513212,0.052611182103913565,-0.04228420830217031,-0.1132344128522249,0.009143617817541043,-0.0014421406197766785,-0.10369668021650484,0.06976221609752485
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,confidence>0.95,7021,6,0.0008545791197834829,,0.04411764705882353,,,,,,,,,,
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,all,7600,478,0.06289473684210523,0.04302063461981323,1.0,0.8208788490845151,0.8510340990671842,0.29065197910063273,0.322690454333806,0.030435728437837203,0.015599361532291,0.04595157930527877,0.032683673325541465,0.0017593016185021002,0.06413728559825108
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence>0.9,7141,293,0.04103066797367316,,0.6129707112970711,0.7824286904723932,0.8045910616886224,0.16273884894683724,0.16134419211036538,0.02176744202279196,0.0025426757783448386,0.04094963746125338,-0.0006141410966851035,-0.027366855591199366,0.027272906089743802
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence>0.95,7021,264,0.037601481270474246,,0.5523012552301255,0.7877801247639935,0.8007178862773061,0.14709031549229581,0.13980266576123115,0.012815713417475231,-0.007925535374645725,0.0353532839028628,-0.007672626970989945,-0.031180639621001947,0.016674810622273363
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,all,7600,141,0.018552631578947376,0.003213268298851862,1.0,0.9739749876155133,0.9628665071183462,0.3395957448761417,0.3437297272619739,-0.011205559491714851,-0.03450290651377617,0.00534936705536447,0.006959488826201261,-0.04677811389321342,0.06295121243078598
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence>0.9,7109,14,0.0019693346462230643,,0.09929078014184398,0.9094533373603142,0.8880801369173462,0.035975492487787725,0.03444444707640448,-0.02305497020862861,-0.19977073314282603,0.1413882458826878,-0.0036908565865298166,-0.03885905347996905,0.017714326942862207
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence>0.95,6992,7,0.0010011441647597152,,0.04964539007092199,,,,,,,,,,
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,all,7600,496,0.0652631578947368,0.044413643761685,1.0,0.819883107654025,0.8303525614828539,0.29170928493312315,0.29683935018235214,0.010776103921733738,-0.006401168691054932,0.029187119562892903,0.005248231300578645,-0.01945762295301241,0.02940579449764503
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,confidence>0.9,7109,302,0.0424813616542411,,0.6088709677419355,0.7733337419504853,0.7858797478637592,0.1546857679900206,0.1594337884898111,0.012087399142362718,-0.01724998898775411,0.041742721155572406,0.004505440019930975,-0.017109646926122914,0.026164583631415606
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,confidence>0.95,6992,271,0.038758581235697975,,0.5463709677419355,0.7670889995613244,0.7727698226245766,0.12667745595250454,0.1336412749454411,0.006039392009641188,-0.02288825605537297,0.03565684759317283,0.007374812003146404,-0.009338822957295594,0.025920272872080763
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,all,7600,144,0.0189473684210526,0.0062715340954693196,1.0,0.9815873494873629,0.9815072499403911,0.39069871844951076,0.42523505944672907,-2.3243729130988822e-05,-0.0023684629602344714,0.0023677603349671387,0.03483057072647242,-0.03858558816508479,0.10744825856869678
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,confidence>0.9,7116,10,0.0014052838673411783,,0.06944444444444445,0.9811145510835912,0.9761328454826906,0.04053100770955839,0.03524164648506021,-0.005237216874893729,-0.02278865367610189,0.008762838338487657,-0.007469516224348881,-0.05293063279724338,0.02905020830057431
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,confidence>0.95,6986,4,0.0005725737188663205,,0.027777777777777776,,,,,,,,,,
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,all,7600,478,0.06289473684210523,0.04159406833350651,1.0,0.8154475083981629,0.8535429730965046,0.2925657313742421,0.29012328315657143,0.03828963065885709,0.02174592482026625,0.053851781480427525,-0.0031264025606541016,-0.028100093171352338,0.019794369004866735
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence>0.9,7116,292,0.04103428892636307,,0.6108786610878661,0.784281705182354,0.8078553333119209,0.16299892081448608,0.16972477971988972,0.02327718677935834,0.0032562385563508936,0.044425406645684534,0.007410126515725207,-0.013291870524776966,0.03080000832847702
setfit_ag_news,subgraphx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence>0.95,6986,256,0.03664471800744351,,0.5355648535564853,0.7791001114413075,0.7909895059435365,0.15905379713652062,0.14039165518587204,0.011860729757036843,-0.01130766131442296,0.03716441928779292,-0.018188467995131505,-0.04481196679742431,0.006904106783542459
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,all,7600,141,0.018552631578947376,0.005939946951050479,1.0,0.9723462255602495,0.9735442641998481,0.31010438600208734,0.37502634294503434,0.0011327172627664367,-0.005988722122247578,0.006818425878840972,0.06565140579901295,-0.010747515509589488,0.14400383635504005
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence>0.9,7047,16,0.0022704697034199306,,0.11347517730496454,0.9582740719670033,0.9258906983359407,0.03451137235552502,0.13689520049552442,-0.031401073740748665,-0.08146719804458602,0.00905097740049823,0.11004986013359144,-0.0012758630814331184,0.2804857321785774
setfit_ag_news,subgraphx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,confidence>0.95,6922,7,0.0010112684195319188,,0.04964539007092199,,,,,,,,,,
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,all,7600,484,0.06368421052631579,0.0410030101867099,1.0,0.8274134298682052,0.8471149870620973,0.30144445784489593,0.28635009113216797,0.019702996441882434,0.0065482931524960455,0.03345586083313593,-0.015247231375433276,-0.047523849082756094,0.014210098980957568
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,confidence>0.9,7047,272,0.038597984958138265,,0.5619834710743802,0.7739895810722813,0.8004726503147384,0.1504279122133676,0.1457036628450826,0.027076339851981646,0.0011320453687937882,0.051371025133378406,-0.00526126443670953,-0.02766652124426325,0.015082905102730847
setfit_ag_news,subgraphx,syntactic,gold_label,7600,484,0.06368421052631579,0.9380263157894737,confidence>0.95,6922,240,0.034672060098237534,,0.49586776859504134,0.7848629402374538,0.7941752718746884,0.13148283873638705,0.12642884586348271,0.009633162766860213,-0.01542489584952236,0.032132909466955635,-0.004880086188260723,-0.029056241686205866,0.019049680073973303
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,all,7600,136,0.017894736842105297,0.004645747040447392,1.0,0.9760802833995336,0.9799321054788475,0.30732010130979853,0.380652929065367,0.0039271561523179545,0.0009587056776500791,0.007057325583829146,0.07760509188564046,0.00833006310361207,0.15257103909428102
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,confidence>0.9,7141,14,0.00196050973253048,,0.10294117647058823,0.9780512738278979,0.9621259195413819,0.05303126189513212,0.05967271863867044,-0.016624634533231923,-0.05616554580896698,0.006132067206868593,0.008357019757431909,-0.024837278105352436,0.05739731097704043
setfit_ag_news,subgraphx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,confidence>0.95,7021,6,0.0008545791197834829,,0.04411764705882353,,,,,,,,,,
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,all,7600,478,0.06289473684210523,0.04302063483940931,1.0,0.8208788490845151,0.8454194616480961,0.29065197910063273,0.29610166765442986,0.02485200607545629,0.010177788018997574,0.04146476931454109,0.0063296870996049585,-0.018709234193781007,0.030352658972229996
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence>0.9,7141,293,0.04103066797367316,,0.6129707112970711,0.7824341727536602,0.8015538778667348,0.1627400810896638,0.16225851298512908,0.019055562499002334,-0.003975161973124061,0.04174795434814018,0.0003114196951423409,-0.02192875689646539,0.02321366313126572
setfit_ag_news,subgraphx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,confidence>0.95,7021,264,0.037601481270474246,,0.5523012552301255,0.787780685349873,0.7971144402437875,0.14709041588810284,0.14332038158578456,0.00930773012573265,-0.013625480450377073,0.03356247848931944,-0.0039424744050939224,-0.024506979337615184,0.016554266176136603
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,all,7600,471,0.06197368421052629,0.010453879684209907,1.0,0.8868036687564534,0.8852889680289742,0.3342144929388435,0.35446132758735255,-0.0014405834219132952,-0.006996876495416554,0.004701533896990751,0.018953350706376028,-0.0016837744462236568,0.03778116376591693
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,confidence>0.9,6506,144,0.022133415308945636,,0.3057324840764331,0.8085485870969995,0.7954761780013274,0.0747455675565978,0.07398910212797204,-0.012903207467620631,-0.028675134946651838,0.004308890006036734,0.0001550395882011328,-0.016600622103924222,0.02115359965713947
setfit_ag_news,token_shap_llm,tokens,teacher_agreement,7600,471,0.06197368421052629,1.0,confidence>0.95,5915,96,0.01622992392223166,,0.20382165605095542,0.7967291058028299,0.7953220771037407,0.04763803515671874,0.0510745081388952,-0.0006134893181803706,-0.021620065269630413,0.027477427749524094,0.004855070919534242,-0.006627076410444416,0.02055660462066508
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,all,7600,471,0.06197368421052629,0.010453879684209907,1.0,0.8868036687564534,0.8852889680289742,0.3342144929388435,0.35446132758735255,-0.0014405834219132952,-0.006996876495416554,0.004701533896990751,0.018953350706376028,-0.0016837744462236568,0.03778116376591693
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,confidence>0.9,6506,144,0.022133415308945636,,0.3057324840764331,0.8085485870969995,0.7954761780013274,0.0747455675565978,0.07398910212797204,-0.012903207467620631,-0.028675134946651838,0.004308890006036734,0.0001550395882011328,-0.016600622103924222,0.02115359965713947
setfit_ag_news,token_shap_llm,tokens,gold_label,7600,471,0.06197368421052629,1.0,confidence>0.95,5915,96,0.01622992392223166,,0.20382165605095542,0.7967291058028299,0.7953220771037407,0.04763803515671874,0.0510745081388952,-0.0006134893181803706,-0.021620065269630413,0.027477427749524094,0.004855070919534242,-0.006627076410444416,0.02055660462066508
stanfordnlp_sst2,graphsvx,constituency,teacher_agreement,872,14,0.016055045871559592,0.9174311926605505,all,872,14,0.016055045871559592,0.0250627265884242,1.0,0.9062604062604062,0.884115884115884,0.3481769730154116,0.16665079863779927,-0.022329883564277956,-0.04379237790020848,-0.0023146640839030175,-0.1949071169428552,-0.4078271727109064,-0.02591585826917673
stanfordnlp_sst2,graphsvx,constituency,teacher_agreement,872,14,0.016055045871559592,0.9174311926605505,confidence>0.9,756,1,0.001322751322751281,,0.07142857142857142,,,,,,,,,,
stanfordnlp_sst2,graphsvx,constituency,teacher_agreement,872,14,0.016055045871559592,0.9174311926605505,confidence>0.95,717,1,0.001394700139469962,,0.07142857142857142,,,,,,,,,,
stanfordnlp_sst2,graphsvx,constituency,gold_label,872,78,0.08944954128440363,0.9174311926605505,all,872,78,0.08944954128440363,0.04929042149574385,1.0,0.8292966479364464,0.8291674740037461,0.3015799482146086,0.30951168894828346,0.00046964757756521035,-0.02809061488871361,0.032852405344181546,0.012241983710911645,-0.056354175438419966,0.08938200825570898
stanfordnlp_sst2,graphsvx,constituency,gold_label,872,78,0.08944954128440363,0.9174311926605505,confidence>0.9,756,38,0.050264550264550234,,0.48717948717948717,0.8023750183257587,0.753665151737282,0.15918687981545926,0.12021961488510126,-0.0497833334268435,-0.09529583482827221,-0.0075207599668181396,-0.04014513069432762,-0.07906137367268602,-0.0061150092261285155
stanfordnlp_sst2,graphsvx,constituency,gold_label,872,78,0.08944954128440363,0.9174311926605505,confidence>0.95,717,28,0.03905160390516038,,0.358974358974359,0.785299606054323,0.7398403483309144,0.12190810982791736,0.08657386808968613,-0.044966355097771235,-0.11473614297055246,0.014602506332658527,-0.039034862844733745,-0.08624163415289778,-0.001752134619049235
stanfordnlp_sst2,graphsvx,skipgrams,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,all,872,16,0.01834862385321101,0.020798900668774205,1.0,0.9031103971962616,0.9415887850467289,0.2552820216558852,0.21210427711568608,0.04004267342548984,-0.020161415791520816,0.15513527258402027,-0.03304913728628914,-0.21713636454752092,0.17836976319045358
stanfordnlp_sst2,graphsvx,skipgrams,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,confidence>0.9,764,2,0.002617801047120394,,0.125,,,,,,,,,,
stanfordnlp_sst2,graphsvx,skipgrams,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,confidence>0.95,724,1,0.0013812154696132284,,0.0625,,,,,,,,,,
stanfordnlp_sst2,graphsvx,skipgrams,gold_label,872,78,0.08944954128440363,0.9174311926605505,all,872,78,0.08944954128440363,0.053244376948120446,1.0,0.8458470580636829,0.8275043596202286,0.29945167231534414,0.2865029715525779,-0.01818950144452586,-0.05270869209862097,0.012978371942362371,-0.009873231903234775,-0.06388092887623426,0.04281586577084032
stanfordnlp_sst2,graphsvx,skipgrams,gold_label,872,78,0.08944954128440363,0.9174311926605505,confidence>0.9,764,40,0.05235602094240843,,0.5128205128205128,0.8367748618784531,0.8042127071823205,0.20592445219384764,0.2194747421333103,-0.03253297277017735,-0.09605897491663043,0.01588691161640965,0.016352891916430867,-0.05715133010968277,0.10005021062924266
stanfordnlp_sst2,graphsvx,skipgrams,gold_label,872,78,0.08944954128440363,0.9174311926605505,confidence>0.95,724,30,0.04143646408839774,,0.38461538461538464,0.8168587896253603,0.7635926993275697,0.14907013893024257,0.12726948535950522,-0.05474575632223428,-0.14023324602601167,0.014270243685187764,-0.02433803274663515,-0.07458522270061832,0.012408274512403315
stanfordnlp_sst2,graphsvx,syntactic,teacher_agreement,872,24,0.02752293577981646,0.9174311926605505,all,872,24,0.02752293577981646,0.012926074479698017,1.0,0.94624606918239,0.9137676886792453,0.3437104271224474,0.3002743379791208,-0.03288886275745291,-0.0818064206193898,-0.0012294061207104676,-0.041234106672534784,-0.17569014732538496,0.08982906754373095
stanfordnlp_sst2,graphsvx,syntactic,teacher_agreement,872,24,0.02752293577981646,0.9174311926605505,confidence>0.9,772,3,0.0038860103626943143,,0.125,,,,,,,,,,
stanfordnlp_sst2,graphsvx,syntactic,teacher_agreement,872,24,0.02752293577981646,0.9174311926605505,confidence>0.95,733,1,0.0013642564802183177,,0.041666666666666664,,,,,,,,,,
stanfordnlp_sst2,graphsvx,syntactic,gold_label,872,84,0.09633027522935778,0.9174311926605505,all,872,84,0.09633027522935778,0.05607761251270223,1.0,0.8497099347353153,0.8308556925308195,0.3550132671215538,0.3216030992112805,-0.019110382390096856,-0.04399258404844564,0.005778966632643636,-0.03651851671613879,-0.09234166162003093,0.022800533394958546
stanfordnlp_sst2,graphsvx,syntactic,gold_label,872,84,0.09633027522935778,0.9174311926605505,confidence>0.9,772,43,0.05569948186528495,,0.5119047619047619,0.812964558011931,0.8146872108973745,0.18309681038802655,0.16561102061465527,0.0016112139192528364,-0.05643440105813655,0.05833524749028008,-0.019571668059071224,-0.06531676884804358,0.02033815270833828
stanfordnlp_sst2,graphsvx,syntactic,gold_label,872,84,0.09633027522935778,0.9174311926605505,confidence>0.95,733,32,0.043656207366984945,,0.38095238095238093,0.7769258202567761,0.8227086305278174,0.13141917895498897,0.1492046239505391,0.04246004689122693,-0.02890678751617185,0.11854905615962019,0.022489854182436715,-0.036372329381413604,0.11286490500791158
stanfordnlp_sst2,graphsvx,window,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,all,872,16,0.01834862385321101,0.020551583909113463,1.0,0.907491238317757,0.8815712616822429,0.1811593811058458,0.3835972187424312,-0.029505682312306845,-0.19043999148678423,0.06206676923967842,0.22386343539328962,0.0579578922169645,0.43793622073940774
stanfordnlp_sst2,graphsvx,window,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,confidence>0.9,763,1,0.001310615989515096,,0.0625,,,,,,,,,,
stanfordnlp_sst2,graphsvx,window,teacher_agreement,872,16,0.01834862385321101,0.9174311926605505,confidence>0.95,723,1,0.0013831258644536604,,0.0625,,,,,,,,,,
stanfordnlp_sst2,graphsvx,window,gold_label,872,76,0.08715596330275233,0.9174311926605505,all,872,76,0.08715596330275233,0.051022643753148016,1.0,0.8327492726791854,0.8008959270034383,0.26522039875285214,0.2706403272899354,-0.03204327968846934,-0.0814212295712818,0.007031053987455207,0.004555453121476491,-0.05953607965412401,0.06020053704717726
stanfordnlp_sst2,graphsvx,window,gold_label,872,76,0.08715596330275233,0.9174311926605505,confidence>0.9,763,43,0.056356487549148127,,0.5657894736842105,0.8178617571059431,0.7836240310077519,0.22688319375355362,0.21517480613580162,-0.03510058421122081,-0.09899214799318652,0.016345290123709433,-0.011494044400501039,-0.0912200239202514,0.07136790445794731
stanfordnlp_sst2,graphsvx,window,gold_label,872,76,0.08715596330275233,0.9174311926605505,confidence>0.95,723,29,0.04011065006915626,,0.3815789473684211,0.7832654278048296,0.741180562456524,0.1148772979768222,0.0955819236796647,-0.042865674387404594,-0.1139166633775578,0.015061096802964273,-0.02093481381006388,-0.06505536977566095,0.014552614716979682
stanfordnlp_sst2,subgraphx,constituency,teacher_agreement,872,14,0.016055045871559592,0.9174311926605505,all,872,14,0.016055045871559592,0.025062724469451715,1.0,0.9062604062604062,0.9387279387279388,0.3481769730154116,0.2745079268301637,0.03341699003819117,-0.03386294815891469,0.1438015881272718,-0.09343081831337957,-0.327837128473656,0.11650370842088201
stanfordnlp_sst2,subgraphx,constituency,teacher_agreement,872,14,0.016055045871559592,0.9174311926605505,confidence>0.9,756,1,0.001322751322751281,,0.07142857142857142,,,,,,,,,,
stanfordnlp_sst2,subgraphx,constituency,teacher_agreement,872,14,0.016055045871559592,0.9174311926605505,confidence>0.95,717,1,0.001394700139469962,,0.07142857142857142,,,,,,,,,,
