dataset,graph,model,n,bert_accuracy,n_bert_errors,accuracy_gold,n_errors,bert_errors_reproduced,jaccard_errors,p_err_given_bert_err,p_err_given_bert_ok,lift,agreement_with_bert,mean_conf_on_bert_errors,confident_agreeing_on_bert_errors,diff_vs_original_bert_errors_reproduced,diff_vs_original_bert_errors_reproduced_ci_low,diff_vs_original_bert_errors_reproduced_ci_high,diff_vs_original_jaccard_errors,diff_vs_original_jaccard_errors_ci_low,diff_vs_original_jaccard_errors_ci_high,diff_vs_original_lift,diff_vs_original_lift_ci_low,diff_vs_original_lift_ci_high,diff_vs_original_confident_agreeing_on_bert_errors,diff_vs_original_confident_agreeing_on_bert_errors_ci_low,diff_vs_original_confident_agreeing_on_bert_errors_ci_high,jaccard_errors_with_original_teacher_model,jaccard_errors_with_teacher_replicate
setfit_ag_news,constituency,teacher (original),7600,0.9380263157894737,471,0.9347368421052632,496,0.8874734607218684,0.761384335154827,0.8874734607218684,0.010941225978398092,81.11279873700256,0.9822368421052632,0.8802992595229179,0.6263269639065817,,,,,,,,,,,,,,
setfit_ag_news,constituency,teacher (replicate),7600,0.9380263157894737,471,0.9348684210526316,495,0.89171974522293,0.7692307692307693,0.89171974522293,0.01052040959461355,84.76093418259023,0.9823684210526316,0.889716693043962,0.643312101910828,0.004638612169529359,-0.013953488372093092,0.02292885638297874,0.007916983494592907,-0.015236807204683758,0.03257347226913984,3.5920047453089183,-11.302082791005265,19.594201216523334,0.017248682000813708,-0.006637536055569685,0.040702727445665055,0.8733459357277883,
setfit_ag_news,constituency,gold,7600,0.9380263157894737,471,0.9342105263157895,500,0.8726114649681529,0.7339285714285714,0.8726114649681529,0.01248421938560808,69.89715880626923,0.9792105263157894,0.7647845357846302,0.28662420382165604,-0.015146269905800992,-0.03778241567543882,0.01055133464683812,-0.02765378512913237,-0.05895801320404226,0.0017674177083729225,-11.528158396311122,-27.83140192760625,2.7768520451034586,-0.3405720441358647,-0.3844702816808497,-0.297869063742409,,0.8290441176470589
setfit_ag_news,constituency,gold [gnn_models_control_seed1],7600,0.9380263157894737,471,0.934078947368421,501,0.8641188959660298,0.720353982300885,0.8641188959660298,0.013185580025248982,65.5351447802322,0.9776315789473684,0.7403114542459986,0.23991507430997877,-0.023206529468729177,-0.04938688688688689,0.0021234824976863183,-0.040886391319368706,-0.07319354690265634,-0.008294505695125357,-15.958812136812295,-34.370976916472095,0.08977771482245599,-0.38730699394033163,-0.4308695325874421,-0.34324699921290824,,0.8109090909090909
setfit_ag_news,syntactic,teacher (original),7600,0.9380263157894737,471,0.9363157894736842,484,0.8747346072186837,0.7587476979742173,0.8747346072186837,0.010099593210829007,86.61087520641662,0.9822368421052632,0.8565348880938917,0.554140127388535,,,,,,,,,,,,,,
setfit_ag_news,syntactic,teacher (replicate),7600,0.9380263157894737,471,0.9348684210526316,495,0.881104033970276,0.7531760435571688,0.881104033970276,0.011221770234254453,78.51738322717623,0.9811842105263158,0.8598411815940954,0.5987261146496815,0.00593038119781732,-0.014869233738660486,0.027089621298405475,-0.005703004021541602,-0.029327770414848183,0.019062076454801513,-8.020773499397409,-23.971472969195574,6.459833649211358,0.04451263026205362,0.013662818970591987,0.07608807478976562,0.8683206106870229,
setfit_ag_news,syntactic,gold,7600,0.9380263157894737,471,0.9355263157894737,490,0.8662420382165605,0.7377938517179023,0.8662420382165605,0.011502314490110814,75.31023768836415,0.9796052631578948,0.754406629284476,0.2526539278131635,-0.007810331134054326,-0.03517857142857141,0.018994456943051508,-0.020590692346046074,-0.052604120852326415,0.010244234559752876,-11.582678476147525,-29.644694798622638,6.85144937794939,-0.30127445018063376,-0.3441962958525795,-0.2609698502896965,,0.7779783393501805
setfit_ag_news,syntactic,gold [gnn_models_control_seed1],7600,0.9380263157894737,471,0.9373684210526316,476,0.861995753715499,0.7504621072088724,0.861995753715499,0.009819048954972646,87.78811040339704,0.9809210526315789,0.7645395144408929,0.28874734607218683,-0.013686419489409754,-0.038463597430406934,0.010380065330625897,-0.008519515039598514,-0.03695121791444311,0.01945828892884033,1.6191920236179458,-15.957956864544864,18.006491509934555,-0.26522582942617395,-0.3059900900493235,-0.22199135926314353,,0.825187969924812
setfit_ag_news,window,teacher (original),7600,0.9380263157894737,471,0.9371052631578948,478,0.8747346072186837,0.7672253258845437,0.8747346072186837,0.009257960443259924,94.48459113427266,0.9828947368421053,0.86762658539851,0.6050955414012739,,,,,,,,,,,,,,
setfit_ag_news,window,teacher (replicate),7600,0.9380263157894737,471,0.9342105263157895,500,0.8874734607218684,0.755877034358047,0.8874734607218684,0.011502314490110814,77.15607684739268,0.9817105263157895,0.8882126739197223,0.6454352441613588,0.011917715920545607,-0.01354362629501081,0.03703905870936433,-0.01262674981022769,-0.045874539364085254,0.017577330107578972,-18.346294787284453,-40.603897915768776,0.4336948052299865,0.039444015500406875,0.011353668261562989,0.06824327025586359,0.8144712430426716,
