dataset,graph,n,errors_bert,errors_distilled,errors_gold_trained,jaccard_D_G,share_of_D_errors_made_by_G,jaccard_D_G_if_independent,jaccard_D_bert,jaccard_G_bert,bert_errors_reproduced_D,bert_errors_reproduced_G
setfit_ag_news,constituency,7600,471,496,500,0.8142076502732241,0.9012096774193549,0.033872377622377624,0.761384335154827,0.7339285714285714,0.8874734607218684,0.8726114649681529
setfit_ag_news,syntactic,7600,471,484,490,0.7937384898710865,0.890495867768595,0.03309868197017825,0.7587476979742173,0.7377938517179023,0.8747346072186837,0.8662420382165605
setfit_ag_news,window,7600,471,478,486,0.8188679245283019,0.9079497907949791,0.03274668555186485,0.7672253258845437,0.7463503649635036,0.8747346072186837,0.8683651804670913
setfit_ag_news,skipgrams,7600,471,478,510,0.7611408199643493,0.893305439330544,0.033555310240026864,0.7574074074074074,0.7090592334494773,0.8683651804670913,0.8641188959660298
stanfordnlp_sst2,constituency,872,73,78,76,0.8780487804878049,0.9230769230769231,0.046182611405422264,0.7976190476190477,0.7738095238095238,0.9178082191780822,0.8904109589041096
stanfordnlp_sst2,syntactic,872,73,84,84,0.8876404494382022,0.9404761904761905,0.05060240963855422,0.7065217391304348,0.7444444444444445,0.8904109589041096,0.9178082191780822
stanfordnlp_sst2,window,872,73,76,78,0.8554216867469879,0.9342105263157895,0.046182611405422264,0.7738095238095238,0.7764705882352941,0.8904109589041096,0.9041095890410958
stanfordnlp_sst2,skipgrams,872,73,78,80,0.8372093023255814,0.9230769230769231,0.04743948424765843,0.7764705882352941,0.7386363636363636,0.9041095890410958,0.8904109589041096
