dataset,graph,n,mean_deletion_graphsvx,mean_deletion_subgraphx,spearman_deletion_between_explainers,mean_insertion_graphsvx,mean_insertion_subgraphx,spearman_insertion_between_explainers
setfit_ag_news,constituency,7600,0.9637203652851052,0.9747712038949713,0.8048188582838497,0.6959280294882714,0.34893658110657605,0.6190188075624703
setfit_ag_news,syntactic,7600,0.919620168427655,0.9588965399269685,0.7566517177381948,0.8858021082903083,0.6349795773418141,0.5068084424826519
setfit_ag_news,window,7600,0.9727546765522057,0.9754073517157403,0.9934514532375349,0.5180747332737875,0.40467286630300575,0.9198593487820088
setfit_ag_news,skipgrams,7600,0.9719572868420819,0.9747586444634908,0.9841027077088793,0.5875647381968058,0.3611619904225679,0.454270632053818
stanfordnlp_sst2,constituency,872,0.9421556952228094,0.9536417134662801,0.9313296991676586,0.856105792586467,0.5815824173348669,0.728701562839756
stanfordnlp_sst2,syntactic,872,0.8827767471288043,0.9030277108510141,0.7484081748421639,0.9209426411455834,0.8713825304074737,0.5132977771330037
stanfordnlp_sst2,window,872,0.947405312801305,0.9518453388763081,0.9820323450501367,0.807223896419093,0.6824871725835681,0.8250184446522343
stanfordnlp_sst2,skipgrams,872,0.9506895046387813,0.9562885242156404,0.9838767105966202,0.8478800440204546,0.5745465116986773,0.5328598949537103
