dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,dimension,js_divergence_bits,cramers_v,chi2,chi2_p_value,legacy_weighted_sd,legacy_separability,n_correct,n_incorrect,pct_correct_by_quadrant,quadrant_share_pct
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,Dimension 3 (consistency),0.24777037278315814,0.4914838077467549,1835.8281329070933,0.0,6.515547144639626,9.214375138230654,7464,136,"{""Sufficient-Necessary"": 57.14, ""Sufficient-Redundant"": 99.0, ""Insufficient-Necessary"": 25.0, ""Insufficient-Redundant"": 43.59}","{""Sufficient-Necessary"": 0.74, ""Sufficient-Redundant"": 98.49, ""Insufficient-Necessary"": 0.26, ""Insufficient-Redundant"": 0.51}"
setfit_ag_news,graphsvx,window,teacher_agreement,7600,136,0.017894736842105297,0.9380263157894737,Dimension 4 (fidelity),0.002983103619048743,0.021117999672960398,3.3893713174223814,0.06561796417347943,0.2799590145206908,0.3959218352437672,7464,136,"{""Faithful"": 0.0, ""Redundant"": 98.25, ""Incomplete"": 0.0, ""Unfaithful"": 96.06}","{""Faithful"": 0.0, ""Redundant"": 98.33, ""Incomplete"": 0.0, ""Unfaithful"": 1.67}"
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,Dimension 3 (consistency),0.03949065232360417,0.20591384623974512,322.243891756665,1.5240594277370057e-69,4.999043219730393,7.069714720231987,7122,478,"{""Sufficient-Necessary"": 55.36, ""Sufficient-Redundant"": 94.32, ""Insufficient-Necessary"": 40.0, ""Insufficient-Redundant"": 58.97}","{""Sufficient-Necessary"": 0.74, ""Sufficient-Redundant"": 98.49, ""Insufficient-Necessary"": 0.26, ""Insufficient-Redundant"": 0.51}"
setfit_ag_news,graphsvx,window,gold_label,7600,478,0.06289473684210523,0.9380263157894737,Dimension 4 (fidelity),0.016526497792673428,0.10998392242173446,91.9331202536528,8.965585945396549e-22,2.670118555415537,3.7761178742127095,7122,478,"{""Faithful"": 0.0, ""Redundant"": 94.06, ""Incomplete"": 0.0, ""Unfaithful"": 73.23}","{""Faithful"": 0.0, ""Redundant"": 98.33, ""Incomplete"": 0.0, ""Unfaithful"": 1.67}"
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,Dimension 3 (consistency),0.18349087979589443,0.30613933813853506,712.2818371048423,4.5586760701398485e-154,4.131002012573957,5.842119072372641,7459,141,"{""Sufficient-Necessary"": 100.0, ""Sufficient-Redundant"": 99.31, ""Insufficient-Necessary"": 52.63, ""Insufficient-Redundant"": 96.76}","{""Sufficient-Necessary"": 0.04, ""Sufficient-Redundant"": 67.08, ""Insufficient-Necessary"": 0.75, ""Insufficient-Redundant"": 32.13}"
setfit_ag_news,subgraphx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,Dimension 4 (fidelity),0.09392939247440232,0.09001007624375727,61.57378507309318,4.264588297790938e-15,1.2145835565458538,1.7176805383024956,7459,141,"{""Faithful"": 0.0, ""Redundant"": 96.95, ""Incomplete"": 0.0, ""Unfaithful"": 99.38}","{""Faithful"": 0.0, ""Redundant"": 50.96, ""Incomplete"": 0.0, ""Unfaithful"": 49.04}"
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,Dimension 3 (consistency),0.04470737794248662,0.18482332539442448,259.6134282348852,5.450386161311331e-56,4.564944504967204,6.455806430405154,7104,496,"{""Sufficient-Necessary"": 33.33, ""Sufficient-Redundant"": 95.31, ""Insufficient-Necessary"": 49.12, ""Insufficient-Redundant"": 90.75}","{""Sufficient-Necessary"": 0.04, ""Sufficient-Redundant"": 67.08, ""Insufficient-Necessary"": 0.75, ""Insufficient-Redundant"": 32.13}"
setfit_ag_news,subgraphx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,Dimension 4 (fidelity),1.9604960461017947e-06,0.0008143870295431012,0.005040519377549074,0.9434004493306338,0.020114515240411125,0.02844622025354973,7104,496,"{""Faithful"": 0.0, ""Redundant"": 93.49, ""Incomplete"": 0.0, ""Unfaithful"": 93.45}","{""Faithful"": 0.0, ""Redundant"": 50.96, ""Incomplete"": 0.0, ""Unfaithful"": 49.04}"
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,Dimension 3 (consistency),0.15102828113652275,0.3491601992633659,926.5376200972137,1.5514997866510736e-200,4.760420712243894,6.732251533857104,7456,144,"{""Sufficient-Necessary"": 50.0, ""Sufficient-Redundant"": 98.69, ""Insufficient-Necessary"": 0.0, ""Insufficient-Redundant"": 71.84}","{""Sufficient-Necessary"": 0.34, ""Sufficient-Redundant"": 98.25, ""Insufficient-Necessary"": 0.05, ""Insufficient-Redundant"": 1.36}"
setfit_ag_news,subgraphx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,Dimension 4 (fidelity),0.11452518102312526,0.09514123203463042,68.79409065131212,1.0929971507679463e-16,1.297147534345495,1.8344436354702194,7456,144,"{""Faithful"": 0.0, ""Redundant"": 96.95, ""Incomplete"": 0.0, ""Unfaithful"": 99.56}","{""Faithful"": 0.0, ""Redundant"": 55.57, ""Incomplete"": 0.0, ""Unfaithful"": 44.43}"
