dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,feature,auroc_correct,auroc_error_oriented
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,prediction_confidence,0.9806269545382369,0.9806269545382369
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,consistency_baseline_margin,0.9804253797830028,0.9804253797830028
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,auc_origin_entropy,0.020559674209555977,0.979440325790444
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,auc_deletion_auc,0.9773513647656836,0.9773513647656836
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,auc_insertion_auc,0.7764326783104613,0.7764326783104613
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,fidelity_minus,0.11678404592861785,0.8832159540713822
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,fidelity_plus,0.4897610483408591,0.5102389516591409
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,fidelity_asymmetry,0.23812444198497887,0.7618755580150212
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,consistency_preservation_necessity,0.96933876824513,0.96933876824513
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,consistency_preservation_sufficiency,0.8957107364229419,0.8957107364229419
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,progression_maskout_drop_k5,0.10362701444016889,0.8963729855598311
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,progression_sufficiency_drop_k5,0.6821945785899086,0.6821945785899086
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,prediction_confidence,0.843718497983871,0.843718497983871
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,consistency_baseline_margin,0.8468196018599244,0.8468196018599244
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,auc_origin_entropy,0.15751689189189189,0.8424831081081081
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,auc_deletion_auc,0.8270550666594013,0.8270550666594013
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,auc_insertion_auc,0.7009300757410637,0.7009300757410637
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,fidelity_minus,0.21154214004831445,0.7884578599516856
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,fidelity_plus,0.39774871267436795,0.602251287325632
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,fidelity_asymmetry,0.46866627842560304,0.531333721574397
